,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
1,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
2,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
3,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
4,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
5,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
6,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
7,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
8,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
9,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
10,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
11,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
12,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
13,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
14,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
15,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
16,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
17,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
18,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
19,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
20,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
21,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
22,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
23,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
24,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
25,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
26,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
27,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
28,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
29,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
30,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
31,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
32,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
33,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
34,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
35,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
36,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
37,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
38,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
39,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
40,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
41,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
42,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
43,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
44,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
45,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
46,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
47,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
48,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
49,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
50,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
51,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
52,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
53,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
54,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
55,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
56,2022,95,20,5,0,2,8,11,0,26,.211,.306,.326,.632
57,2023,358,99,20,2,14,55,44,0,79,.277,.363,.461,.824
