,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
1,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
2,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
3,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
4,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
5,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
6,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
7,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
8,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
9,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
10,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
11,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
12,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
13,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
14,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
15,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
16,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
17,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
18,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
19,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
20,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
21,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
22,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
23,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
24,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
25,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
26,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
27,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
28,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
29,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
30,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
31,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
32,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
33,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
34,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
35,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
36,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
37,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
38,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
39,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
40,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
41,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
42,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
43,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
44,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
45,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
46,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
47,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
48,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
49,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
50,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
51,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
52,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
53,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
54,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
55,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
56,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
57,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
58,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
59,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
60,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
61,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
62,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
63,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
64,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
65,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
66,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
67,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
68,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
69,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
70,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
71,2023,277,81,15,3,7,33,26,1,58,.292,.360,.444,.804
72,2021,31,9,1,0,1,2,4,0,2,.290,.361,.419,.780
73,2022,225,54,10,5,8,25,20,0,40,.240,.314,.436,.750
