,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
1,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
2,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
3,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
4,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
5,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
6,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
7,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
8,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
9,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
10,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
11,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
12,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
13,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
14,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
15,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
16,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
17,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
18,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
19,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
20,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
21,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
22,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
23,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
24,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
25,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
26,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
27,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
28,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
29,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
30,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
31,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
32,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
33,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
34,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
35,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
36,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
37,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
38,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
39,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
40,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
41,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
42,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
43,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
44,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
45,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
46,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
47,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
48,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
49,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
50,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
51,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
52,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
53,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
54,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
55,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
56,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
57,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
58,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
59,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
60,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
61,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
62,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
63,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
64,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
65,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
66,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
67,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
68,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
69,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
70,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
71,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
72,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
73,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
74,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
75,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
76,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
77,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
78,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
79,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
80,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
81,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
82,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
83,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
84,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
85,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
86,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
87,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
88,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
89,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
90,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
91,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
92,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
93,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
94,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
95,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
96,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
97,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
98,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
99,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
100,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
101,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
102,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
103,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
104,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
105,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
106,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
107,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
108,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
109,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
110,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
111,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
112,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
113,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
114,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
115,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
116,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
117,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
118,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
119,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
120,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
121,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
122,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
123,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
124,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
125,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
126,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
127,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
128,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
129,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
130,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
131,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
132,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
133,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
134,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
135,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
136,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
137,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
138,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
139,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
140,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
141,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
142,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
143,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
144,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
145,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
146,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
147,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
148,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
149,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
150,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
151,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
152,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
153,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
154,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
155,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
156,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
157,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
158,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
159,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
160,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
161,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
162,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
163,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
164,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
165,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
166,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
167,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
168,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
169,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
170,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
171,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
172,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
173,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
174,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
175,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
176,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
177,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
178,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
179,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
180,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
181,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
182,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
183,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
184,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
185,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
186,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
187,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
188,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
189,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
190,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
191,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
192,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
193,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
194,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
195,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
196,2017,10,3,1,0,0,3,0,0,2,.300,.300,.400,.700
197,2018,84,14,3,0,1,9,4,0,27,.167,.200,.238,.438
198,2019,136,26,5,0,4,14,7,2,37,.191,.231,.316,.547
199,2020,24,7,1,0,2,6,2,0,6,.292,.346,.583,.929
200,2021,153,34,5,1,3,13,5,1,44,.222,.261,.327,.588
201,2022,284,68,15,0,3,28,14,0,76,.239,.276,.324,.600
202,2023,56,7,0,0,0,1,2,0,18,.125,.153,.125,.278
