,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
2,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
3,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
6,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
7,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
10,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
11,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
14,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
15,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
18,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
19,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
22,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
23,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
26,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
27,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
30,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
31,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
32,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
34,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
35,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
38,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
39,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
40,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
41,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
42,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
43,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
46,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
47,2023,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
48,2019,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
49,2021,91,24,3,1,2,10,12,2,22,.264,.374,.385,.759
50,2022,50,9,1,0,0,4,2,0,16,.180,.212,.200,.412
