,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
1,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
2,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
3,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
4,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
5,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
6,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
7,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
8,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
9,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
10,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
11,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
12,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
13,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
14,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
15,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
16,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
17,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
18,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
19,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
20,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
21,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
22,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
23,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
24,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
25,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
26,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
27,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
28,2023,21,5,2,0,1,3,0,0,8,.238,.238,.476,.714
