,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
1,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
2,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
3,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
4,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
5,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
6,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
7,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
8,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
9,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
10,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
11,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
12,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
13,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
14,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
15,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
16,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
17,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
18,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
19,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
20,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
21,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
22,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
23,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
24,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
25,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
26,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
27,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
28,2023,28,4,0,0,0,1,4,0,10,.143,.250,.143,.393
