,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
1,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
2,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
3,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
4,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
5,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
6,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
7,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
8,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
9,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
10,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
11,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
12,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
13,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
14,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
15,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
16,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
17,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
18,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
19,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
20,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
21,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
22,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
23,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
24,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
25,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
26,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
27,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
28,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
29,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
30,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
31,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
32,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
33,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
34,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
35,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
36,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
37,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
38,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
39,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
40,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
41,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
42,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
43,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
44,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
45,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
46,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
47,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
48,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
49,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
50,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
51,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
52,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
53,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
54,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
55,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
56,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
57,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
58,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
59,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
60,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
61,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
62,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
63,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
64,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
65,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
66,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
67,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
68,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
69,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
70,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
71,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
72,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
73,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
74,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
75,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
76,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
77,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
78,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
79,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
80,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
81,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
82,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
83,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
84,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
85,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
86,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
87,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
88,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
89,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
90,2019,170,43,9,0,15,42,18,1,52,.253,.337,.571,.908
91,2020,114,33,9,0,8,25,20,1,22,.289,.401,.579,.980
92,2021,414,107,19,2,25,76,58,4,101,.258,.365,.495,.860
93,2022,508,132,26,3,24,87,56,4,96,.260,.343,.465,.808
94,2023,270,78,14,1,13,52,47,0,44,.289,.398,.493,.891
