,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,156,41,8,1,0,13,21,0,35,.263,.352,.327,.679
1,2018,109,34,5,2,1,15,11,1,19,.312,.375,.422,.797
2,2019,307,82,20,1,14,38,35,1,61,.267,.340,.476,.816
3,2020,114,35,3,0,2,11,23,1,17,.307,.428,.386,.814
4,2021,465,119,20,1,13,64,69,4,85,.256,.353,.387,.740
5,2022,473,140,33,0,9,57,78,2,60,.296,.401,.423,.824
6,2023,325,103,19,0,14,47,42,0,62,.317,.401,.505,.906
7,2017,156,41,8,1,0,13,21,0,35,.263,.352,.327,.679
8,2018,109,34,5,2,1,15,11,1,19,.312,.375,.422,.797
9,2019,307,82,20,1,14,38,35,1,61,.267,.340,.476,.816
10,2020,114,35,3,0,2,11,23,1,17,.307,.428,.386,.814
11,2021,465,119,20,1,13,64,69,4,85,.256,.353,.387,.740
12,2022,473,140,33,0,9,57,78,2,60,.296,.401,.423,.824
13,2023,325,103,19,0,14,47,42,0,62,.317,.401,.505,.906
14,2017,156,41,8,1,0,13,21,0,35,.263,.352,.327,.679
15,2018,109,34,5,2,1,15,11,1,19,.312,.375,.422,.797
16,2019,307,82,20,1,14,38,35,1,61,.267,.340,.476,.816
17,2020,114,35,3,0,2,11,23,1,17,.307,.428,.386,.814
18,2021,465,119,20,1,13,64,69,4,85,.256,.353,.387,.740
19,2022,473,140,33,0,9,57,78,2,60,.296,.401,.423,.824
20,2023,325,103,19,0,14,47,42,0,62,.317,.401,.505,.906
21,2017,156,41,8,1,0,13,21,0,35,.263,.352,.327,.679
22,2018,109,34,5,2,1,15,11,1,19,.312,.375,.422,.797
23,2019,307,82,20,1,14,38,35,1,61,.267,.340,.476,.816
24,2020,114,35,3,0,2,11,23,1,17,.307,.428,.386,.814
25,2021,465,119,20,1,13,64,69,4,85,.256,.353,.387,.740
26,2022,473,140,33,0,9,57,78,2,60,.296,.401,.423,.824
27,2023,325,103,19,0,14,47,42,0,62,.317,.401,.505,.906
28,2017,156,41,8,1,0,13,21,0,35,.263,.352,.327,.679
29,2018,109,34,5,2,1,15,11,1,19,.312,.375,.422,.797
