,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
1,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
2,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
3,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
4,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
5,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
6,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
7,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
8,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
9,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
10,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
11,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
12,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
13,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
14,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
15,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
16,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
17,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
18,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
19,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
20,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
21,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
22,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
23,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
24,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
25,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
26,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
27,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
28,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
29,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
30,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
31,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
32,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
33,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
34,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
35,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
36,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
37,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
38,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
39,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
40,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
41,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
42,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
43,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
44,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
45,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
46,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
47,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
48,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
49,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
50,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
51,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
52,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
53,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
54,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
55,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
56,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
57,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
58,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
59,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
60,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
61,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
62,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
63,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
64,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
65,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
66,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
67,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
68,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
69,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
70,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
71,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
72,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
73,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
74,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
75,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
76,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
77,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
78,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
79,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
80,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
81,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
82,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
83,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
84,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
85,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
86,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
87,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
88,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
89,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
90,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
91,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
92,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
93,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
94,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
95,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
96,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
97,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
98,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
99,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
100,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
101,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
102,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
103,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
104,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
105,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
106,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
107,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
108,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
109,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
110,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
111,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
112,2019,97,20,1,1,0,3,7,0,21,.206,.257,.237,.494
113,2021,301,85,12,2,2,30,21,0,60,.282,.332,.355,.687
114,2022,372,112,21,2,2,34,26,0,58,.301,.349,.384,.733
115,2023,74,20,6,0,0,7,3,0,13,.270,.304,.351,.655
