,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Adam Haseley,Chicago White Sox,Garrett Cleavinger,Tampa Bay Rays,1,1,0,0,0,1,1,0,0,1.000,1.000,1.000,2.000
1,Adam Haseley,Chicago White Sox,Kevin Kelly,Tampa Bay Rays,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
2,Adam Haseley,Chicago White Sox,Luke Raley,Tampa Bay Rays,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
3,Adam Haseley,Chicago White Sox,Drew Rasmussen,Tampa Bay Rays,3,3,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
4,Adam Haseley,Chicago White Sox,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Adam Haseley,Chicago White Sox,Yonny Chirinos,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Adam Haseley,Chicago White Sox,Calvin Faucher,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Adam Haseley,Chicago White Sox,Colin Poche,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Adam Haseley,Chicago White Sox,Ryan Thompson,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Adam Haseley,Chicago White Sox,Nick Lodolo,Cincinnati Reds,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
10,Adam Haseley,Chicago White Sox,Alexis Diaz,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Adam Haseley,Chicago White Sox,Buck Farmer,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Adam Haseley,Chicago White Sox,Derek Law,Cincinnati Reds,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
13,Adam Haseley,Chicago White Sox,Luke Maile,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Adam Haseley,Chicago White Sox,Yimi Garcia,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Adam Haseley,Chicago White Sox,J.P. France,Houston Astros,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Adam Haseley,Chicago White Sox,Rafael Montero,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Adam Haseley,Chicago White Sox,Ryan Pressly,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Adam Haseley,Chicago White Sox,Ryne Stanek,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Adam Haseley,Chicago White Sox,Brock Stewart,Minnesota Twins,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Adam Haseley,Chicago White Sox,James Karinchak,Cleveland Guardians,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Adam Haseley,Chicago White Sox,Max Castillo,Kansas City Royals,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
22,Adam Haseley,Chicago White Sox,Scott Barlow,Kansas City Royals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Adam Haseley,Chicago White Sox,Jose Cuas,Kansas City Royals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Adam Haseley,Chicago White Sox,Amir Garrett,Kansas City Royals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Adam Haseley,Chicago White Sox,Zack Greinke,Kansas City Royals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Adam Haseley,Chicago White Sox,Carlos Hernandez,Kansas City Royals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Adam Haseley,Chicago White Sox,Jordan Lyles,Kansas City Royals,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
28,Adam Haseley,Chicago White Sox,Brady Singer,Kansas City Royals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
