,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Conner Capel,Oakland Athletics,Jon Gray,Texas Rangers,2,2,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
1,Conner Capel,Oakland Athletics,Ian Kennedy,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
2,Conner Capel,Oakland Athletics,Jacob deGrom,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Conner Capel,Oakland Athletics,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Conner Capel,Oakland Athletics,Andrew Heaney,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Conner Capel,Oakland Athletics,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Conner Capel,Oakland Athletics,Tucker Davidson,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
7,Conner Capel,Oakland Athletics,Patrick Sandoval,Los Angeles Angels,3,2,1,0,0,0,0,0,0,.667,.667,1.000,1.667
8,Conner Capel,Oakland Athletics,Jaime Barria,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
9,Conner Capel,Oakland Athletics,Griffin Canning,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Conner Capel,Oakland Athletics,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Conner Capel,Oakland Athletics,Matt Moore,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Conner Capel,Oakland Athletics,Shohei Ohtani,Los Angeles Angels,5,0,0,0,0,0,1,0,2,.000,.167,.000,.167
13,Conner Capel,Oakland Athletics,Chase Silseth,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Conner Capel,Oakland Athletics,Jason Adam,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
15,Conner Capel,Oakland Athletics,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Conner Capel,Oakland Athletics,Drew Rasmussen,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Conner Capel,Oakland Athletics,Luis Cessa,Cincinnati Reds,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
