,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Cooper Hummel,Seattle Mariners,Reid Detmers,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,Cooper Hummel,Seattle Mariners,Jimmy Herget,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Cooper Hummel,Seattle Mariners,Matt Moore,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Cooper Hummel,Seattle Mariners,Brad Boxberger,Chicago Cubs,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
4,Cooper Hummel,Seattle Mariners,Michael Fulmer,Chicago Cubs,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Cooper Hummel,Seattle Mariners,Julian Merryweather,Chicago Cubs,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Cooper Hummel,Seattle Mariners,Drew Smyly,Chicago Cubs,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Cooper Hummel,Seattle Mariners,Marcus Stroman,Chicago Cubs,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Cooper Hummel,Seattle Mariners,Keegan Thompson,Chicago Cubs,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Cooper Hummel,Seattle Mariners,Aaron Civale,Cleveland Guardians,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
10,Cooper Hummel,Seattle Mariners,Hunter Gaddis,Cleveland Guardians,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
11,Cooper Hummel,Seattle Mariners,Tim Herrin,Cleveland Guardians,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Cooper Hummel,Seattle Mariners,Eli Morgan,Cleveland Guardians,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Cooper Hummel,Seattle Mariners,Trevor Stephan,Cleveland Guardians,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Cooper Hummel,Seattle Mariners,Corbin Burnes,Milwaukee Brewers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Cooper Hummel,Seattle Mariners,Hoby Milner,Milwaukee Brewers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Cooper Hummel,Seattle Mariners,Devin Williams,Milwaukee Brewers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Cooper Hummel,Seattle Mariners,Bryse Wilson,Milwaukee Brewers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
