,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,DJ Stewart,New York Mets,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,DJ Stewart,New York Mets,Chris Martin,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
2,DJ Stewart,New York Mets,Richard Bleier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,DJ Stewart,New York Mets,James Paxton,Boston Red Sox,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
4,DJ Stewart,New York Mets,Nick Pivetta,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,DJ Stewart,New York Mets,Carson Kelly,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
6,DJ Stewart,New York Mets,Jose Ruiz,Arizona Diamondbacks,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
7,DJ Stewart,New York Mets,Joe Musgrove,San Diego Padres,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
8,DJ Stewart,New York Mets,Tom Cosgrove,San Diego Padres,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,DJ Stewart,New York Mets,Tim Hill,San Diego Padres,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
10,DJ Stewart,New York Mets,Lucas Giolito,Chicago White Sox,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
11,DJ Stewart,New York Mets,Reynaldo Lopez,Chicago White Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,DJ Stewart,New York Mets,Bryan Shaw,Chicago White Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
