,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Edwin Rios,Chicago Cubs,Jon Gray,Texas Rangers,2,1,0,0,1,2,1,0,1,.500,.667,2.000,2.667
1,Edwin Rios,Chicago Cubs,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Edwin Rios,Chicago Cubs,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
3,Edwin Rios,Chicago Cubs,Andre Jackson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Edwin Rios,Chicago Cubs,Shelby Miller,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Edwin Rios,Chicago Cubs,Noah Syndergaard,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Edwin Rios,Chicago Cubs,Taj Bradley,Tampa Bay Rays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
7,Edwin Rios,Chicago Cubs,Kevin Kelly,Tampa Bay Rays,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
8,Edwin Rios,Chicago Cubs,Fernando Cruz,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Edwin Rios,Chicago Cubs,Connor Overton,Cincinnati Reds,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Edwin Rios,Chicago Cubs,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Edwin Rios,Chicago Cubs,Yunior Marte,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Edwin Rios,Chicago Cubs,Yu Darvish,San Diego Padres,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
13,Edwin Rios,Chicago Cubs,Nick Martinez,San Diego Padres,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Edwin Rios,Chicago Cubs,Bryan Hoeing,Miami Marlins,1,1,1,0,0,0,1,0,0,1.000,1.000,2.000,3.000
15,Edwin Rios,Chicago Cubs,Huascar Brazoban,Miami Marlins,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Edwin Rios,Chicago Cubs,Trevor Williams,Washington Nationals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Edwin Rios,Chicago Cubs,Tommy Hunter,New York Mets,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Edwin Rios,Chicago Cubs,Peter Strzelecki,Milwaukee Brewers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Edwin Rios,Chicago Cubs,Brandon Woodruff,Milwaukee Brewers,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
20,Edwin Rios,Chicago Cubs,Mason Miller,Oakland Athletics,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Edwin Rios,Chicago Cubs,Chad Smith,Oakland Athletics,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
