,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jake Rogers,Detroit Tigers,Dylan Dodd,Atlanta Braves,2,1,0,0,1,3,0,0,0,.500,.500,2.000,2.500
1,Jake Rogers,Detroit Tigers,Collin McHugh,Atlanta Braves,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
2,Jake Rogers,Detroit Tigers,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Jake Rogers,Detroit Tigers,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Jake Rogers,Detroit Tigers,Charlie Morton,Atlanta Braves,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
5,Jake Rogers,Detroit Tigers,John King,Texas Rangers,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
6,Jake Rogers,Detroit Tigers,Yerry Rodriguez,Texas Rangers,3,2,0,0,0,0,0,0,1,.667,.667,.667,1.334
7,Jake Rogers,Detroit Tigers,Andrew Heaney,Texas Rangers,2,1,0,0,1,2,1,0,1,.500,.667,2.000,2.667
8,Jake Rogers,Detroit Tigers,Martin Perez,Texas Rangers,2,1,0,0,1,1,2,0,1,.500,.750,2.000,2.750
9,Jake Rogers,Detroit Tigers,Grant Anderson,Texas Rangers,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
10,Jake Rogers,Detroit Tigers,Cody Bradford,Texas Rangers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
11,Jake Rogers,Detroit Tigers,Dane Dunning,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Jake Rogers,Detroit Tigers,Jonathan Hernandez,Texas Rangers,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
13,Jake Rogers,Detroit Tigers,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Jake Rogers,Detroit Tigers,Cole Ragans,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Jake Rogers,Detroit Tigers,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Jake Rogers,Detroit Tigers,Jalen Beeks,Tampa Bay Rays,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
17,Jake Rogers,Detroit Tigers,Calvin Faucher,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Jake Rogers,Detroit Tigers,Jeffrey Springs,Tampa Bay Rays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
19,Jake Rogers,Detroit Tigers,Chris Sale,Boston Red Sox,2,1,0,0,1,2,0,0,0,.500,.500,2.000,2.500
20,Jake Rogers,Detroit Tigers,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
21,Jake Rogers,Detroit Tigers,Tanner Houck,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Jake Rogers,Detroit Tigers,Zack Kelly,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Jake Rogers,Detroit Tigers,John Schreiber,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Jake Rogers,Detroit Tigers,JoJo Romero,St. Louis Cardinals,1,1,0,0,1,4,0,0,0,1.000,1.000,4.000,5.000
25,Jake Rogers,Detroit Tigers,Jordan Montgomery,St. Louis Cardinals,2,1,1,0,0,0,0,0,1,.500,.500,1.000,1.500
26,Jake Rogers,Detroit Tigers,Ryan Helsley,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Jake Rogers,Detroit Tigers,Steven Matz,St. Louis Cardinals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Jake Rogers,Detroit Tigers,Drey Jameson,Arizona Diamondbacks,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
29,Jake Rogers,Detroit Tigers,Merrill Kelly,Arizona Diamondbacks,3,2,0,0,1,1,0,0,1,.667,.667,1.667,2.334
