,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jason Delay,Pittsburgh Pirates,Martin Perez,Texas Rangers,3,2,0,0,0,1,0,0,0,.667,.667,.667,1.334
1,Jason Delay,Pittsburgh Pirates,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Jason Delay,Pittsburgh Pirates,Justin Bruihl,Los Angeles Dodgers,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
3,Jason Delay,Pittsburgh Pirates,Tony Gonsolin,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
4,Jason Delay,Pittsburgh Pirates,Alex Vesia,Los Angeles Dodgers,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
5,Jason Delay,Pittsburgh Pirates,Phil Bickford,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Jason Delay,Pittsburgh Pirates,Julio Urias,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Jason Delay,Pittsburgh Pirates,Zach Eflin,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Jason Delay,Pittsburgh Pirates,Kaleb Ort,Boston Red Sox,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
9,Jason Delay,Pittsburgh Pirates,Kutter Crawford,Boston Red Sox,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
10,Jason Delay,Pittsburgh Pirates,Richard Bleier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Jason Delay,Pittsburgh Pirates,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Jason Delay,Pittsburgh Pirates,Zack Kelly,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
