,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jeff McNeil,New York Mets,Collin McHugh,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Jeff McNeil,New York Mets,Michael Tonkin,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
2,Jeff McNeil,New York Mets,Kirby Yates,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
3,Jeff McNeil,New York Mets,Joe Jimenez,Atlanta Braves,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
4,Jeff McNeil,New York Mets,Charlie Morton,Atlanta Braves,5,1,0,0,0,0,1,0,0,.200,.333,.200,.533
5,Jeff McNeil,New York Mets,Spencer Strider,Atlanta Braves,5,1,0,0,0,0,0,0,2,.200,.333,.200,.533
6,Jeff McNeil,New York Mets,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
7,Jeff McNeil,New York Mets,Max Fried,Atlanta Braves,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
8,Jeff McNeil,New York Mets,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Jeff McNeil,New York Mets,A.J. Minter,Atlanta Braves,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Jeff McNeil,New York Mets,Shelby Miller,Los Angeles Dodgers,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
11,Jeff McNeil,New York Mets,Dustin May,Los Angeles Dodgers,3,2,1,0,0,1,0,0,0,.667,.667,1.000,1.667
12,Jeff McNeil,New York Mets,Bobby Miller,Los Angeles Dodgers,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
13,Jeff McNeil,New York Mets,Clayton Kershaw,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
14,Jeff McNeil,New York Mets,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
