,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Joey Wiemer,Milwaukee Brewers,Michael Soroka,Atlanta Braves,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
1,Joey Wiemer,Milwaukee Brewers,Phil Bickford,Los Angeles Dodgers,2,1,1,0,0,1,0,0,1,.500,.500,1.000,1.500
2,Joey Wiemer,Milwaukee Brewers,Tony Gonsolin,Los Angeles Dodgers,2,1,0,0,1,3,0,0,1,.500,.500,2.000,2.500
3,Joey Wiemer,Milwaukee Brewers,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Joey Wiemer,Milwaukee Brewers,Clayton Kershaw,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Joey Wiemer,Milwaukee Brewers,Shelby Miller,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Joey Wiemer,Milwaukee Brewers,Matt Moore,Los Angeles Angels,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
7,Joey Wiemer,Milwaukee Brewers,Reid Detmers,Los Angeles Angels,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
8,Joey Wiemer,Milwaukee Brewers,Tyler Anderson,Los Angeles Angels,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
9,Joey Wiemer,Milwaukee Brewers,Jaime Barria,Los Angeles Angels,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,Joey Wiemer,Milwaukee Brewers,Jose Suarez,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Joey Wiemer,Milwaukee Brewers,Shane McClanahan,Tampa Bay Rays,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
12,Joey Wiemer,Milwaukee Brewers,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Joey Wiemer,Milwaukee Brewers,Cooper Criswell,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Joey Wiemer,Milwaukee Brewers,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Joey Wiemer,Milwaukee Brewers,Brayan Bello,Boston Red Sox,2,2,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500
16,Joey Wiemer,Milwaukee Brewers,Nick Pivetta,Boston Red Sox,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
17,Joey Wiemer,Milwaukee Brewers,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Joey Wiemer,Milwaukee Brewers,Kaleb Ort,Boston Red Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
19,Joey Wiemer,Milwaukee Brewers,John Schreiber,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Joey Wiemer,Milwaukee Brewers,Garrett Whitlock,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Joey Wiemer,Milwaukee Brewers,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Joey Wiemer,Milwaukee Brewers,James Naile,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
23,Joey Wiemer,Milwaukee Brewers,Andre Pallante,St. Louis Cardinals,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
24,Joey Wiemer,Milwaukee Brewers,Jordan Montgomery,St. Louis Cardinals,5,2,1,0,1,1,0,0,1,.400,.400,1.200,1.600
25,Joey Wiemer,Milwaukee Brewers,Jack Flaherty,St. Louis Cardinals,3,0,0,0,0,0,1,0,2,.000,.250,.000,.250
26,Joey Wiemer,Milwaukee Brewers,Ryan Helsley,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,Joey Wiemer,Milwaukee Brewers,Jordan Hicks,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Joey Wiemer,Milwaukee Brewers,Matthew Liberatore,St. Louis Cardinals,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
29,Joey Wiemer,Milwaukee Brewers,Packy Naughton,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Joey Wiemer,Milwaukee Brewers,Drew VerHagen,St. Louis Cardinals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Joey Wiemer,Milwaukee Brewers,Jake Woodford,St. Louis Cardinals,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
32,Joey Wiemer,Milwaukee Brewers,Austin Adams,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
33,Joey Wiemer,Milwaukee Brewers,Zac Gallen,Arizona Diamondbacks,4,1,1,0,0,0,0,0,2,.250,.250,.500,.750
34,Joey Wiemer,Milwaukee Brewers,Miguel Castro,Arizona Diamondbacks,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
