,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jose Caballero,Seattle Mariners,Nick Anderson,Atlanta Braves,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
1,Jose Caballero,Seattle Mariners,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Jose Caballero,Seattle Mariners,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Jose Caballero,Seattle Mariners,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Jose Caballero,Seattle Mariners,Jared Shuster,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Jose Caballero,Seattle Mariners,Michael Tonkin,Atlanta Braves,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
6,Jose Caballero,Seattle Mariners,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Jose Caballero,Seattle Mariners,Jon Gray,Texas Rangers,3,2,0,0,0,0,0,0,0,.667,.750,.667,1.417
8,Jose Caballero,Seattle Mariners,Jonathan Hernandez,Texas Rangers,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
9,Jose Caballero,Seattle Mariners,John King,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
10,Jose Caballero,Seattle Mariners,Andrew Heaney,Texas Rangers,5,1,1,0,0,1,0,0,1,.200,.200,.400,.600
11,Jose Caballero,Seattle Mariners,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Jose Caballero,Seattle Mariners,Brock Burke,Texas Rangers,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
13,Jose Caballero,Seattle Mariners,Nathan Eovaldi,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
14,Jose Caballero,Seattle Mariners,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Jose Caballero,Seattle Mariners,Griffin Canning,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
16,Jose Caballero,Seattle Mariners,Chris Devenski,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Jose Caballero,Seattle Mariners,Carlos Estevez,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
18,Jose Caballero,Seattle Mariners,Jimmy Herget,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Jose Caballero,Seattle Mariners,Shohei Ohtani,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
20,Jose Caballero,Seattle Mariners,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Jose Caballero,Seattle Mariners,Shane McClanahan,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
22,Jose Caballero,Seattle Mariners,Robert Stephenson,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
23,Jose Caballero,Seattle Mariners,Jason Adam,Tampa Bay Rays,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000
24,Jose Caballero,Seattle Mariners,Shawn Armstrong,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Jose Caballero,Seattle Mariners,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Jose Caballero,Seattle Mariners,Taj Bradley,Tampa Bay Rays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
27,Jose Caballero,Seattle Mariners,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Jose Caballero,Seattle Mariners,Colin Poche,Tampa Bay Rays,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
29,Jose Caballero,Seattle Mariners,Brayan Bello,Boston Red Sox,1,1,0,0,0,1,1,0,0,1.000,1.000,1.000,2.000
30,Jose Caballero,Seattle Mariners,Pablo Reyes,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Jose Caballero,Seattle Mariners,Joely Rodriguez,Boston Red Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
32,Jose Caballero,Seattle Mariners,Ryan Sherriff,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,Jose Caballero,Seattle Mariners,Drew VerHagen,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
34,Jose Caballero,Seattle Mariners,Steven Matz,St. Louis Cardinals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Jose Caballero,Seattle Mariners,Yusei Kikuchi,Toronto Blue Jays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
36,Jose Caballero,Seattle Mariners,Alek Manoah,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
37,Jose Caballero,Seattle Mariners,Tim Mayza,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
38,Jose Caballero,Seattle Mariners,Jordan Romano,Toronto Blue Jays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
39,Jose Caballero,Seattle Mariners,Erik Swanson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
40,Jose Caballero,Seattle Mariners,Kyle Gibson,Baltimore Orioles,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
41,Jose Caballero,Seattle Mariners,Keegan Akin,Baltimore Orioles,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
42,Jose Caballero,Seattle Mariners,Kyle Bradish,Baltimore Orioles,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Jose Caballero,Seattle Mariners,Danny Coulombe,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
44,Jose Caballero,Seattle Mariners,Josh Lester,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,Jose Caballero,Seattle Mariners,Cionel Perez,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
46,Jose Caballero,Seattle Mariners,Bailey Falter,Philadelphia Phillies,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
47,Jose Caballero,Seattle Mariners,Jose Alvarado,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
48,Jose Caballero,Seattle Mariners,Connor Brogdon,Philadelphia Phillies,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
49,Jose Caballero,Seattle Mariners,Gregory Soto,Philadelphia Phillies,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
50,Jose Caballero,Seattle Mariners,Matt Strahm,Philadelphia Phillies,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
51,Jose Caballero,Seattle Mariners,Andrew Vasquez,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
52,Jose Caballero,Seattle Mariners,Drew Carlton,San Diego Padres,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000
53,Jose Caballero,Seattle Mariners,Tom Cosgrove,San Diego Padres,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
54,Jose Caballero,Seattle Mariners,Domingo Tapia,San Diego Padres,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
55,Jose Caballero,Seattle Mariners,Ryne Stanek,Houston Astros,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
56,Jose Caballero,Seattle Mariners,Framber Valdez,Houston Astros,2,2,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
57,Jose Caballero,Seattle Mariners,Brandon Bielak,Houston Astros,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
58,Jose Caballero,Seattle Mariners,Bryan Abreu,Houston Astros,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
59,Jose Caballero,Seattle Mariners,Ronel Blanco,Houston Astros,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
60,Jose Caballero,Seattle Mariners,Matt Gage,Houston Astros,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
61,Jose Caballero,Seattle Mariners,Bligh Madris,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
62,Jose Caballero,Seattle Mariners,Seth Martinez,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
63,Jose Caballero,Seattle Mariners,Rafael Montero,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
64,Jose Caballero,Seattle Mariners,Hector Neris,Houston Astros,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
65,Jose Caballero,Seattle Mariners,Sonny Gray,Minnesota Twins,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
66,Jose Caballero,Seattle Mariners,Bailey Ober,Minnesota Twins,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
