,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Josh Lowe,Tampa Bay Rays,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Josh Lowe,Tampa Bay Rays,Charlie Morton,Atlanta Braves,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,Josh Lowe,Tampa Bay Rays,Jose Leclerc,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
3,Josh Lowe,Tampa Bay Rays,Dane Dunning,Texas Rangers,3,2,0,0,1,1,0,0,0,.667,.667,1.667,2.334
4,Josh Lowe,Tampa Bay Rays,Nathan Eovaldi,Texas Rangers,4,2,1,0,0,0,1,0,0,.500,.600,.750,1.350
5,Josh Lowe,Tampa Bay Rays,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Josh Lowe,Tampa Bay Rays,Cody Bradford,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Josh Lowe,Tampa Bay Rays,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Josh Lowe,Tampa Bay Rays,Jon Gray,Texas Rangers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
9,Josh Lowe,Tampa Bay Rays,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Josh Lowe,Tampa Bay Rays,Phil Bickford,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,Josh Lowe,Tampa Bay Rays,Gavin Stone,Los Angeles Dodgers,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
12,Josh Lowe,Tampa Bay Rays,Noah Syndergaard,Los Angeles Dodgers,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
13,Josh Lowe,Tampa Bay Rays,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Josh Lowe,Tampa Bay Rays,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Josh Lowe,Tampa Bay Rays,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Josh Lowe,Tampa Bay Rays,Tanner Houck,Boston Red Sox,1,1,0,0,0,1,1,0,0,1.000,.667,1.000,1.667
17,Josh Lowe,Tampa Bay Rays,Corey Kluber,Boston Red Sox,2,1,1,0,0,0,1,0,0,.500,.667,1.000,1.667
18,Josh Lowe,Tampa Bay Rays,Kaleb Ort,Boston Red Sox,3,1,0,0,1,1,0,0,1,.333,.333,1.333,1.666
19,Josh Lowe,Tampa Bay Rays,Garrett Whitlock,Boston Red Sox,4,1,0,0,0,0,0,0,2,.250,.250,.250,.500
20,Josh Lowe,Tampa Bay Rays,Brayan Bello,Boston Red Sox,3,0,0,0,0,1,0,0,1,.000,.000,.000,.000
21,Josh Lowe,Tampa Bay Rays,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Josh Lowe,Tampa Bay Rays,Kutter Crawford,Boston Red Sox,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
23,Josh Lowe,Tampa Bay Rays,Justin Garza,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,Josh Lowe,Tampa Bay Rays,Nick Pivetta,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,Josh Lowe,Tampa Bay Rays,Ryan Sherriff,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,Josh Lowe,Tampa Bay Rays,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Josh Lowe,Tampa Bay Rays,Scott McGough,Arizona Diamondbacks,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
28,Josh Lowe,Tampa Bay Rays,Brandon Pfaadt,Arizona Diamondbacks,2,1,0,0,0,2,0,0,1,.500,.500,.500,1.000
29,Josh Lowe,Tampa Bay Rays,Zach Davies,Arizona Diamondbacks,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Josh Lowe,Tampa Bay Rays,Drey Jameson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Josh Lowe,Tampa Bay Rays,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Josh Lowe,Tampa Bay Rays,Hunter Greene,Cincinnati Reds,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
33,Josh Lowe,Tampa Bay Rays,Kevin Herget,Cincinnati Reds,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
34,Josh Lowe,Tampa Bay Rays,Levi Stoudt,Cincinnati Reds,1,1,0,0,0,2,1,0,0,1.000,1.000,1.000,2.000
