,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Juan Soto,San Diego Padres,Dylan Dodd,Atlanta Braves,3,2,1,0,0,0,0,0,0,.667,.667,1.000,1.667
1,Juan Soto,San Diego Padres,Charlie Morton,Atlanta Braves,6,3,0,0,2,2,0,0,2,.500,.500,1.500,2.000
2,Juan Soto,San Diego Padres,Dylan Lee,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
3,Juan Soto,San Diego Padres,Spencer Strider,Atlanta Braves,3,1,0,0,0,0,3,0,0,.333,.667,.333,1.000
4,Juan Soto,San Diego Padres,Nick Anderson,Atlanta Braves,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
5,Juan Soto,San Diego Padres,Jesse Chavez,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
6,Juan Soto,San Diego Padres,Max Fried,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Juan Soto,San Diego Padres,Lucas Luetge,Atlanta Braves,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
8,Juan Soto,San Diego Padres,A.J. Minter,Atlanta Braves,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
9,Juan Soto,San Diego Padres,Jared Shuster,Atlanta Braves,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
10,Juan Soto,San Diego Padres,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Juan Soto,San Diego Padres,Kirby Yates,Atlanta Braves,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
12,Juan Soto,San Diego Padres,Victor Gonzalez,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
13,Juan Soto,San Diego Padres,Clayton Kershaw,Los Angeles Dodgers,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
14,Juan Soto,San Diego Padres,Julio Urias,Los Angeles Dodgers,6,2,0,0,1,1,0,0,0,.333,.333,.833,1.166
15,Juan Soto,San Diego Padres,Dustin May,Los Angeles Dodgers,6,1,1,0,0,0,0,0,1,.167,.167,.333,.500
16,Juan Soto,San Diego Padres,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Juan Soto,San Diego Padres,Justin Bruihl,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Juan Soto,San Diego Padres,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,Juan Soto,San Diego Padres,Brusdar Graterol,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Juan Soto,San Diego Padres,Shelby Miller,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Juan Soto,San Diego Padres,Evan Phillips,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Juan Soto,San Diego Padres,Wander Suero,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
23,Juan Soto,San Diego Padres,Sam Bachman,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Juan Soto,San Diego Padres,Jaime Barria,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,Juan Soto,San Diego Padres,Tucker Davidson,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
26,Juan Soto,San Diego Padres,Chris Devenski,Los Angeles Angels,1,0,0,0,0,1,1,0,0,.000,.500,.000,.500
27,Juan Soto,San Diego Padres,Victor Mederos,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
28,Juan Soto,San Diego Padres,Shohei Ohtani,Los Angeles Angels,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
29,Juan Soto,San Diego Padres,Gerardo Reyes,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
30,Juan Soto,San Diego Padres,Patrick Sandoval,Los Angeles Angels,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
31,Juan Soto,San Diego Padres,Jacob Webb,Los Angeles Angels,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
32,Juan Soto,San Diego Padres,Yonny Chirinos,Tampa Bay Rays,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
33,Juan Soto,San Diego Padres,Zach Eflin,Tampa Bay Rays,2,0,0,0,0,1,0,0,2,.000,.000,.000,.000
34,Juan Soto,San Diego Padres,Zack Littell,Tampa Bay Rays,0,0,0,0,0,0,2,0,0,.000,1.000,.000,1.000
35,Juan Soto,San Diego Padres,Shane McClanahan,Tampa Bay Rays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Juan Soto,San Diego Padres,Robert Stephenson,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Juan Soto,San Diego Padres,Corey Kluber,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
38,Juan Soto,San Diego Padres,Chris Sale,Boston Red Sox,3,1,0,0,1,1,0,0,2,.333,.333,1.333,1.666
