,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Luis Arraez,Miami Marlins,A.J. Minter,Atlanta Braves,2,2,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
1,Luis Arraez,Miami Marlins,Collin McHugh,Atlanta Braves,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
2,Luis Arraez,Miami Marlins,Dylan Dodd,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
3,Luis Arraez,Miami Marlins,Charlie Morton,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
4,Luis Arraez,Miami Marlins,Spencer Strider,Atlanta Braves,3,1,1,0,0,1,0,0,0,.333,.333,.667,1.000
5,Luis Arraez,Miami Marlins,Kyle Wright,Atlanta Braves,3,1,1,0,0,1,0,0,0,.333,.333,.667,1.000
6,Luis Arraez,Miami Marlins,Bryce Elder,Atlanta Braves,6,1,0,0,0,0,0,0,0,.167,.167,.167,.334
7,Luis Arraez,Miami Marlins,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Luis Arraez,Miami Marlins,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Luis Arraez,Miami Marlins,Michael Soroka,Atlanta Braves,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Luis Arraez,Miami Marlins,Michael Tonkin,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Luis Arraez,Miami Marlins,Sam Bachman,Los Angeles Angels,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
12,Luis Arraez,Miami Marlins,Patrick Sandoval,Los Angeles Angels,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
13,Luis Arraez,Miami Marlins,Reid Detmers,Los Angeles Angels,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
14,Luis Arraez,Miami Marlins,Shohei Ohtani,Los Angeles Angels,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
15,Luis Arraez,Miami Marlins,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Luis Arraez,Miami Marlins,Chase Silseth,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
17,Luis Arraez,Miami Marlins,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
18,Luis Arraez,Miami Marlins,Brennan Bernardino,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
19,Luis Arraez,Miami Marlins,Joe Jacques,Boston Red Sox,2,1,1,0,0,1,0,0,0,.500,.500,1.000,1.500
20,Luis Arraez,Miami Marlins,Garrett Whitlock,Boston Red Sox,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
21,Luis Arraez,Miami Marlins,Brayan Bello,Boston Red Sox,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Luis Arraez,Miami Marlins,Chris Martin,Boston Red Sox,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
23,Luis Arraez,Miami Marlins,Chris Murphy,Boston Red Sox,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
24,Luis Arraez,Miami Marlins,Kaleb Ort,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Luis Arraez,Miami Marlins,Nick Pivetta,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Luis Arraez,Miami Marlins,Matthew Liberatore,St. Louis Cardinals,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
27,Luis Arraez,Miami Marlins,Zack Thompson,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
28,Luis Arraez,Miami Marlins,Jack Flaherty,St. Louis Cardinals,4,3,0,0,0,0,0,0,0,.750,.750,.750,1.500
29,Luis Arraez,Miami Marlins,Jordan Montgomery,St. Louis Cardinals,2,1,0,0,0,1,0,0,0,.500,.333,.500,.833
30,Luis Arraez,Miami Marlins,Chris Stratton,St. Louis Cardinals,2,1,1,0,0,1,0,0,1,.500,.500,1.000,1.500
31,Luis Arraez,Miami Marlins,Adam Wainwright,St. Louis Cardinals,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
32,Luis Arraez,Miami Marlins,Miles Mikolas,St. Louis Cardinals,6,2,0,0,0,1,0,0,0,.333,.333,.333,.666
33,Luis Arraez,Miami Marlins,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Luis Arraez,Miami Marlins,Jordan Hicks,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
35,Luis Arraez,Miami Marlins,Dakota Hudson,St. Louis Cardinals,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Luis Arraez,Miami Marlins,Steven Matz,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Luis Arraez,Miami Marlins,James Naile,St. Louis Cardinals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
38,Luis Arraez,Miami Marlins,Andre Pallante,St. Louis Cardinals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
39,Luis Arraez,Miami Marlins,JoJo Romero,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
40,Luis Arraez,Miami Marlins,Ryan Tepera,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
41,Luis Arraez,Miami Marlins,Andrew Chafin,Arizona Diamondbacks,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
42,Luis Arraez,Miami Marlins,Brandon Pfaadt,Arizona Diamondbacks,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
43,Luis Arraez,Miami Marlins,Zac Gallen,Arizona Diamondbacks,6,1,0,0,0,0,0,0,0,.167,.167,.167,.334
44,Luis Arraez,Miami Marlins,Kevin Ginkel,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,Luis Arraez,Miami Marlins,Merrill Kelly,Arizona Diamondbacks,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
46,Luis Arraez,Miami Marlins,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
47,Luis Arraez,Miami Marlins,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
48,Luis Arraez,Miami Marlins,Alan Busenitz,Cincinnati Reds,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
49,Luis Arraez,Miami Marlins,Alexis Diaz,Cincinnati Reds,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
