,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Luis Torrens,Chicago Cubs,Will Smith,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Luis Torrens,Chicago Cubs,Martin Perez,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Luis Torrens,Chicago Cubs,Julio Urias,Los Angeles Dodgers,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
3,Luis Torrens,Chicago Cubs,Justin Bruihl,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Luis Torrens,Chicago Cubs,Brusdar Graterol,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Luis Torrens,Chicago Cubs,Clayton Kershaw,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Luis Torrens,Chicago Cubs,Shelby Miller,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Luis Torrens,Chicago Cubs,Reiver Sanmartin,Cincinnati Reds,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Luis Torrens,Chicago Cubs,Eric Lauer,Milwaukee Brewers,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
9,Luis Torrens,Chicago Cubs,Matt Bush,Milwaukee Brewers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Luis Torrens,Chicago Cubs,Joel Payamps,Milwaukee Brewers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Luis Torrens,Chicago Cubs,Adam Oller,Oakland Athletics,2,1,1,0,0,2,0,0,0,.500,.500,1.000,1.500
12,Luis Torrens,Chicago Cubs,Ken Waldichuk,Oakland Athletics,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
13,Luis Torrens,Chicago Cubs,James Kaprielian,Oakland Athletics,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
14,Luis Torrens,Chicago Cubs,Sam Moll,Oakland Athletics,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
