,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Luke Voit,Milwaukee Brewers,Brusdar Graterol,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Luke Voit,Milwaukee Brewers,Clayton Kershaw,Los Angeles Dodgers,2,1,1,0,0,0,0,0,1,.500,.500,1.000,1.500
2,Luke Voit,Milwaukee Brewers,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Luke Voit,Milwaukee Brewers,Wander Suero,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Luke Voit,Milwaukee Brewers,Tyler Anderson,Los Angeles Angels,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Luke Voit,Milwaukee Brewers,Jaime Barria,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Luke Voit,Milwaukee Brewers,Reid Detmers,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Luke Voit,Milwaukee Brewers,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Luke Voit,Milwaukee Brewers,Chase Silseth,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Luke Voit,Milwaukee Brewers,Jose Suarez,Los Angeles Angels,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,Luke Voit,Milwaukee Brewers,Andrew Wantz,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Luke Voit,Milwaukee Brewers,Jordan Montgomery,St. Louis Cardinals,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
12,Luke Voit,Milwaukee Brewers,Zack Thompson,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Luke Voit,Milwaukee Brewers,Luis Frias,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
14,Luke Voit,Milwaukee Brewers,Drey Jameson,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
15,Luke Voit,Milwaukee Brewers,Miguel Castro,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Luke Voit,Milwaukee Brewers,Zac Gallen,Arizona Diamondbacks,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Luke Voit,Milwaukee Brewers,Kevin Ginkel,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Luke Voit,Milwaukee Brewers,Scott McGough,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Luke Voit,Milwaukee Brewers,Javier Assad,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Luke Voit,Milwaukee Brewers,Michael Rucker,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Luke Voit,Milwaukee Brewers,Justin Steele,Chicago Cubs,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
22,Luke Voit,Milwaukee Brewers,Michael Wacha,San Diego Padres,2,2,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
23,Luke Voit,Milwaukee Brewers,Nabil Crismatt,San Diego Padres,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
