,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Miles Mastrobuoni,Chicago Cubs,Cole Ragans,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Miles Mastrobuoni,Chicago Cubs,Nathan Eovaldi,Texas Rangers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,Miles Mastrobuoni,Chicago Cubs,Jaime Barria,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Miles Mastrobuoni,Chicago Cubs,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Miles Mastrobuoni,Chicago Cubs,Jason Adam,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Miles Mastrobuoni,Chicago Cubs,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Miles Mastrobuoni,Chicago Cubs,Taj Bradley,Tampa Bay Rays,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Miles Mastrobuoni,Chicago Cubs,Zach Eflin,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Miles Mastrobuoni,Chicago Cubs,Joe La Sorsa,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Miles Mastrobuoni,Chicago Cubs,Brayan Bello,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Miles Mastrobuoni,Chicago Cubs,Kutter Crawford,Boston Red Sox,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
11,Miles Mastrobuoni,Chicago Cubs,Jake Faria,Boston Red Sox,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
12,Miles Mastrobuoni,Chicago Cubs,Tayler Scott,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Miles Mastrobuoni,Chicago Cubs,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Miles Mastrobuoni,Chicago Cubs,Jack Flaherty,St. Louis Cardinals,3,2,0,0,1,1,0,0,0,.667,.667,1.667,2.334
15,Miles Mastrobuoni,Chicago Cubs,Miles Mikolas,St. Louis Cardinals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Miles Mastrobuoni,Chicago Cubs,Eduardo Salazar,Cincinnati Reds,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
17,Miles Mastrobuoni,Chicago Cubs,Joel Kuhnel,Cincinnati Reds,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
18,Miles Mastrobuoni,Chicago Cubs,Luis Cessa,Cincinnati Reds,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Miles Mastrobuoni,Chicago Cubs,Alexis Diaz,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Miles Mastrobuoni,Chicago Cubs,Ian Gibaut,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Miles Mastrobuoni,Chicago Cubs,Hunter Greene,Cincinnati Reds,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
22,Miles Mastrobuoni,Chicago Cubs,Derek Law,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Miles Mastrobuoni,Chicago Cubs,Bryan Baker,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Miles Mastrobuoni,Chicago Cubs,Kyle Gibson,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Miles Mastrobuoni,Chicago Cubs,Connor Brogdon,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
