,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Nathaniel Lowe,Texas Rangers,Dylan Lee,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
1,Nathaniel Lowe,Texas Rangers,Jared Shuster,Atlanta Braves,2,1,1,0,0,1,0,0,0,.500,.500,1.000,1.500
2,Nathaniel Lowe,Texas Rangers,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Nathaniel Lowe,Texas Rangers,Charlie Morton,Atlanta Braves,2,0,0,0,0,0,1,0,2,.000,.333,.000,.333
4,Nathaniel Lowe,Texas Rangers,Spencer Strider,Atlanta Braves,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Nathaniel Lowe,Texas Rangers,Danny Young,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Nathaniel Lowe,Texas Rangers,Tony Gonsolin,Los Angeles Dodgers,1,1,0,0,1,2,1,0,0,1.000,1.000,4.000,5.000
7,Nathaniel Lowe,Texas Rangers,Caleb Ferguson,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Nathaniel Lowe,Texas Rangers,Alex Vesia,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Nathaniel Lowe,Texas Rangers,Tucker Davidson,Los Angeles Angels,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
10,Nathaniel Lowe,Texas Rangers,Jaime Barria,Los Angeles Angels,5,4,0,0,1,3,0,0,0,.800,.800,1.400,2.200
11,Nathaniel Lowe,Texas Rangers,Shohei Ohtani,Los Angeles Angels,3,2,1,0,0,0,0,0,1,.667,.667,1.000,1.667
12,Nathaniel Lowe,Texas Rangers,Reid Detmers,Los Angeles Angels,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
13,Nathaniel Lowe,Texas Rangers,Chris Devenski,Los Angeles Angels,3,1,0,0,0,1,0,0,1,.333,.333,.333,.666
14,Nathaniel Lowe,Texas Rangers,Tyler Anderson,Los Angeles Angels,6,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Nathaniel Lowe,Texas Rangers,Sam Bachman,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Nathaniel Lowe,Texas Rangers,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Nathaniel Lowe,Texas Rangers,Chase Silseth,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
18,Nathaniel Lowe,Texas Rangers,Jose Soriano,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,Nathaniel Lowe,Texas Rangers,Jose Suarez,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Nathaniel Lowe,Texas Rangers,Andrew Wantz,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Nathaniel Lowe,Texas Rangers,Jacob Webb,Los Angeles Angels,1,0,0,0,0,1,1,0,0,.000,.500,.000,.500
22,Nathaniel Lowe,Texas Rangers,Kevin Kelly,Tampa Bay Rays,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
23,Nathaniel Lowe,Texas Rangers,Jason Adam,Tampa Bay Rays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
24,Nathaniel Lowe,Texas Rangers,Zack Littell,Tampa Bay Rays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
25,Nathaniel Lowe,Texas Rangers,Taj Bradley,Tampa Bay Rays,5,1,0,0,0,0,0,0,4,.200,.200,.200,.400
26,Nathaniel Lowe,Texas Rangers,Shane McClanahan,Tampa Bay Rays,5,1,0,0,0,0,0,0,1,.200,.200,.200,.400
27,Nathaniel Lowe,Texas Rangers,Shawn Armstrong,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Nathaniel Lowe,Texas Rangers,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,Nathaniel Lowe,Texas Rangers,Jake Diekman,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
30,Nathaniel Lowe,Texas Rangers,Pete Fairbanks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Nathaniel Lowe,Texas Rangers,Tyler Glasnow,Tampa Bay Rays,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
32,Nathaniel Lowe,Texas Rangers,Javy Guerra,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Nathaniel Lowe,Texas Rangers,Jose Lopez,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
34,Nathaniel Lowe,Texas Rangers,Luis Patino,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
35,Nathaniel Lowe,Texas Rangers,Brennan Bernardino,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
36,Nathaniel Lowe,Texas Rangers,Brandon Walter,Boston Red Sox,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
37,Nathaniel Lowe,Texas Rangers,Brayan Bello,Boston Red Sox,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
38,Nathaniel Lowe,Texas Rangers,Kutter Crawford,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
39,Nathaniel Lowe,Texas Rangers,Justin Garza,Boston Red Sox,1,0,0,0,0,0,1,1,0,.000,.500,.000,.500
40,Nathaniel Lowe,Texas Rangers,Joe Jacques,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
41,Nathaniel Lowe,Texas Rangers,Chris Martin,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,Nathaniel Lowe,Texas Rangers,Chris Murphy,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Nathaniel Lowe,Texas Rangers,Tayler Scott,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,Nathaniel Lowe,Texas Rangers,Genesis Cabrera,St. Louis Cardinals,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
45,Nathaniel Lowe,Texas Rangers,Matthew Liberatore,St. Louis Cardinals,3,1,0,0,1,1,0,0,1,.333,.333,1.333,1.666
46,Nathaniel Lowe,Texas Rangers,Adam Wainwright,St. Louis Cardinals,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
