,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Randal Grichuk,Colorado Rockies,Collin McHugh,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Randal Grichuk,Colorado Rockies,Kirby Yates,Atlanta Braves,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
2,Randal Grichuk,Colorado Rockies,Nick Anderson,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
3,Randal Grichuk,Colorado Rockies,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Randal Grichuk,Colorado Rockies,Ben Heller,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Randal Grichuk,Colorado Rockies,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Randal Grichuk,Colorado Rockies,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Randal Grichuk,Colorado Rockies,Charlie Morton,Atlanta Braves,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
8,Randal Grichuk,Colorado Rockies,Jared Shuster,Atlanta Braves,3,0,0,0,0,1,0,0,0,.000,.000,.000,.000
9,Randal Grichuk,Colorado Rockies,Joe Barlow,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
10,Randal Grichuk,Colorado Rockies,Andrew Heaney,Texas Rangers,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
11,Randal Grichuk,Colorado Rockies,Martin Perez,Texas Rangers,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
12,Randal Grichuk,Colorado Rockies,Jon Gray,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Randal Grichuk,Colorado Rockies,Jonathan Hernandez,Texas Rangers,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
14,Randal Grichuk,Colorado Rockies,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
