,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Rob Refsnyder,Boston Red Sox,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Rob Refsnyder,Boston Red Sox,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Rob Refsnyder,Boston Red Sox,Danny Young,Atlanta Braves,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
3,Rob Refsnyder,Boston Red Sox,Brock Burke,Texas Rangers,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
4,Rob Refsnyder,Boston Red Sox,Josh Sborz,Texas Rangers,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Rob Refsnyder,Boston Red Sox,Tyler Anderson,Los Angeles Angels,5,3,1,0,0,1,1,0,0,.600,.667,.800,1.467
6,Rob Refsnyder,Boston Red Sox,Tucker Davidson,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
7,Rob Refsnyder,Boston Red Sox,Reid Detmers,Los Angeles Angels,2,1,0,0,0,0,1,0,1,.500,.667,.500,1.167
8,Rob Refsnyder,Boston Red Sox,Aaron Loup,Los Angeles Angels,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
9,Rob Refsnyder,Boston Red Sox,Jaime Barria,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Rob Refsnyder,Boston Red Sox,Carlos Estevez,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Rob Refsnyder,Boston Red Sox,Jimmy Herget,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Rob Refsnyder,Boston Red Sox,Matt Moore,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
13,Rob Refsnyder,Boston Red Sox,Reyes Moronta,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
14,Rob Refsnyder,Boston Red Sox,Shohei Ohtani,Los Angeles Angels,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
