,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Ryan Kreidler,Detroit Tigers,Garrett Cleavinger,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Ryan Kreidler,Detroit Tigers,Shane McClanahan,Tampa Bay Rays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,Ryan Kreidler,Detroit Tigers,Colin Poche,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Ryan Kreidler,Detroit Tigers,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Ryan Kreidler,Detroit Tigers,Chris Sale,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Ryan Kreidler,Detroit Tigers,Anthony Bass,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Ryan Kreidler,Detroit Tigers,Kevin Gausman,Toronto Blue Jays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Ryan Kreidler,Detroit Tigers,Seth Martinez,Houston Astros,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
8,Ryan Kreidler,Detroit Tigers,Framber Valdez,Houston Astros,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
9,Ryan Kreidler,Detroit Tigers,Cristian Javier,Houston Astros,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Ryan Kreidler,Detroit Tigers,Hector Neris,Houston Astros,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
