,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Salvador Perez,Kansas City Royals,Bryce Elder,Atlanta Braves,3,2,1,0,0,1,0,0,0,.667,.667,1.000,1.667
1,Salvador Perez,Kansas City Royals,Charlie Morton,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
2,Salvador Perez,Kansas City Royals,Kyle Wright,Atlanta Braves,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
3,Salvador Perez,Kansas City Royals,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Salvador Perez,Kansas City Royals,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Salvador Perez,Kansas City Royals,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Salvador Perez,Kansas City Royals,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Salvador Perez,Kansas City Royals,Jonathan Hernandez,Texas Rangers,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
8,Salvador Perez,Kansas City Royals,Nathan Eovaldi,Texas Rangers,6,2,1,0,0,0,0,0,4,.333,.333,.500,.833
9,Salvador Perez,Kansas City Royals,Martin Perez,Texas Rangers,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
10,Salvador Perez,Kansas City Royals,Brock Burke,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Salvador Perez,Kansas City Royals,Dane Dunning,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Salvador Perez,Kansas City Royals,Andrew Heaney,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Salvador Perez,Kansas City Royals,Taylor Hearn,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Salvador Perez,Kansas City Royals,Ian Kennedy,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Salvador Perez,Kansas City Royals,Jose Leclerc,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Salvador Perez,Kansas City Royals,Jacob deGrom,Texas Rangers,5,0,0,0,0,0,0,0,3,.000,.000,.000,.000
17,Salvador Perez,Kansas City Royals,Evan Phillips,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
18,Salvador Perez,Kansas City Royals,Julio Urias,Los Angeles Dodgers,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
19,Salvador Perez,Kansas City Royals,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Salvador Perez,Kansas City Royals,Phil Bickford,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Salvador Perez,Kansas City Royals,Ryan Brasier,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Salvador Perez,Kansas City Royals,Justin Bruihl,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Salvador Perez,Kansas City Royals,Tony Gonsolin,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Salvador Perez,Kansas City Royals,Victor Gonzalez,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
25,Salvador Perez,Kansas City Royals,Bobby Miller,Los Angeles Dodgers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
26,Salvador Perez,Kansas City Royals,Griffin Canning,Los Angeles Angels,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
27,Salvador Perez,Kansas City Royals,Tyler Anderson,Los Angeles Angels,6,1,1,0,0,0,0,0,1,.167,.167,.333,.500
28,Salvador Perez,Kansas City Royals,Jaime Barria,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,Salvador Perez,Kansas City Royals,Reid Detmers,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
30,Salvador Perez,Kansas City Royals,Chris Devenski,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Salvador Perez,Kansas City Royals,Matt Moore,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
32,Salvador Perez,Kansas City Royals,Shohei Ohtani,Los Angeles Angels,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Salvador Perez,Kansas City Royals,Jose Quijada,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
34,Salvador Perez,Kansas City Royals,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
35,Salvador Perez,Kansas City Royals,Javy Guerra,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
36,Salvador Perez,Kansas City Royals,Tyler Glasnow,Tampa Bay Rays,5,3,1,0,0,0,0,0,1,.600,.600,.800,1.400
37,Salvador Perez,Kansas City Royals,Jason Adam,Tampa Bay Rays,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
38,Salvador Perez,Kansas City Royals,Zach Eflin,Tampa Bay Rays,4,2,0,0,1,2,0,0,1,.500,.500,1.250,1.750
39,Salvador Perez,Kansas City Royals,Pete Fairbanks,Tampa Bay Rays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
40,Salvador Perez,Kansas City Royals,Shawn Armstrong,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
41,Salvador Perez,Kansas City Royals,Yonny Chirinos,Tampa Bay Rays,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
42,Salvador Perez,Kansas City Royals,Cooper Criswell,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
43,Salvador Perez,Kansas City Royals,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
44,Salvador Perez,Kansas City Royals,Kevin Kelly,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
45,Salvador Perez,Kansas City Royals,Zack Littell,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
46,Salvador Perez,Kansas City Royals,Shane McClanahan,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
47,Salvador Perez,Kansas City Royals,Giovanny Gallegos,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
