,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Seby Zavala,Chicago White Sox,Spencer Strider,Atlanta Braves,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
1,Seby Zavala,Chicago White Sox,Kolby Allard,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Seby Zavala,Chicago White Sox,Joe Jimenez,Atlanta Braves,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Seby Zavala,Chicago White Sox,Collin McHugh,Atlanta Braves,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Seby Zavala,Chicago White Sox,Michael Soroka,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Seby Zavala,Chicago White Sox,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Seby Zavala,Chicago White Sox,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Seby Zavala,Chicago White Sox,Martin Perez,Texas Rangers,2,0,0,0,0,1,0,0,1,.000,.000,.000,.000
8,Seby Zavala,Chicago White Sox,Tucker Davidson,Los Angeles Angels,1,1,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
9,Seby Zavala,Chicago White Sox,Andrew Wantz,Los Angeles Angels,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
10,Seby Zavala,Chicago White Sox,Jaime Barria,Los Angeles Angels,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
11,Seby Zavala,Chicago White Sox,Griffin Canning,Los Angeles Angels,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
12,Seby Zavala,Chicago White Sox,Tyler Anderson,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Seby Zavala,Chicago White Sox,Reid Detmers,Los Angeles Angels,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,Seby Zavala,Chicago White Sox,Chris Devenski,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
15,Seby Zavala,Chicago White Sox,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Seby Zavala,Chicago White Sox,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Seby Zavala,Chicago White Sox,Patrick Sandoval,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
18,Seby Zavala,Chicago White Sox,Chase Silseth,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,Seby Zavala,Chicago White Sox,Jose Soriano,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Seby Zavala,Chicago White Sox,Yonny Chirinos,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Seby Zavala,Chicago White Sox,Garrett Cleavinger,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Seby Zavala,Chicago White Sox,Zach Eflin,Tampa Bay Rays,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Seby Zavala,Chicago White Sox,Shane McClanahan,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Seby Zavala,Chicago White Sox,Colin Poche,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Seby Zavala,Chicago White Sox,Ryan Thompson,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Seby Zavala,Chicago White Sox,Brayan Bello,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
27,Seby Zavala,Chicago White Sox,Kutter Crawford,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Seby Zavala,Chicago White Sox,Steven Matz,St. Louis Cardinals,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
29,Seby Zavala,Chicago White Sox,Miles Mikolas,St. Louis Cardinals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Seby Zavala,Chicago White Sox,Nick Lodolo,Cincinnati Reds,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
31,Seby Zavala,Chicago White Sox,Graham Ashcraft,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Seby Zavala,Chicago White Sox,Luis Cessa,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,Seby Zavala,Chicago White Sox,Ian Gibaut,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
34,Seby Zavala,Chicago White Sox,Derek Law,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
35,Seby Zavala,Chicago White Sox,Casey Legumina,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Seby Zavala,Chicago White Sox,Reiver Sanmartin,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Seby Zavala,Chicago White Sox,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Seby Zavala,Chicago White Sox,Yusei Kikuchi,Toronto Blue Jays,3,2,1,0,0,0,1,0,1,.667,.750,1.000,1.750
39,Seby Zavala,Chicago White Sox,Chris Bassitt,Toronto Blue Jays,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
40,Seby Zavala,Chicago White Sox,Tim Mayza,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
41,Seby Zavala,Chicago White Sox,Nate Pearson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,Seby Zavala,Chicago White Sox,Erik Swanson,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
43,Seby Zavala,Chicago White Sox,Felix Bautista,Baltimore Orioles,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
44,Seby Zavala,Chicago White Sox,Grayson Rodriguez,Baltimore Orioles,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
