,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Stuart Fairchild,Cincinnati Reds,A.J. Minter,Atlanta Braves,2,1,0,1,0,1,0,0,0,.500,.500,1.500,2.000
1,Stuart Fairchild,Cincinnati Reds,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Stuart Fairchild,Cincinnati Reds,Lucas Luetge,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
3,Stuart Fairchild,Cincinnati Reds,Martin Perez,Texas Rangers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
4,Stuart Fairchild,Cincinnati Reds,Cole Ragans,Texas Rangers,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
5,Stuart Fairchild,Cincinnati Reds,Brusdar Graterol,Los Angeles Dodgers,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
6,Stuart Fairchild,Cincinnati Reds,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
7,Stuart Fairchild,Cincinnati Reds,Caleb Ferguson,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Stuart Fairchild,Cincinnati Reds,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Stuart Fairchild,Cincinnati Reds,Nick Robertson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Stuart Fairchild,Cincinnati Reds,Noah Syndergaard,Los Angeles Dodgers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
11,Stuart Fairchild,Cincinnati Reds,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Stuart Fairchild,Cincinnati Reds,Yonny Chirinos,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Stuart Fairchild,Cincinnati Reds,Cooper Criswell,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500
14,Stuart Fairchild,Cincinnati Reds,Pete Fairbanks,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
15,Stuart Fairchild,Cincinnati Reds,Josh Fleming,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Stuart Fairchild,Cincinnati Reds,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Stuart Fairchild,Cincinnati Reds,Drew Rasmussen,Tampa Bay Rays,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
18,Stuart Fairchild,Cincinnati Reds,Brayan Bello,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
19,Stuart Fairchild,Cincinnati Reds,Justin Garza,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Stuart Fairchild,Cincinnati Reds,James Paxton,Boston Red Sox,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
