,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Will Smith,Los Angeles Dodgers,Nick Anderson,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Will Smith,Los Angeles Dodgers,Raisel Iglesias,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
2,Will Smith,Los Angeles Dodgers,Collin McHugh,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
3,Will Smith,Los Angeles Dodgers,Spencer Strider,Atlanta Braves,3,2,1,0,0,3,0,0,0,.667,.667,1.000,1.667
4,Will Smith,Los Angeles Dodgers,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
5,Will Smith,Los Angeles Dodgers,Lucas Luetge,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Will Smith,Los Angeles Dodgers,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Will Smith,Los Angeles Dodgers,Charlie Morton,Atlanta Braves,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Will Smith,Los Angeles Dodgers,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Will Smith,Los Angeles Dodgers,Grant Anderson,Texas Rangers,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
10,Will Smith,Los Angeles Dodgers,Yerry Rodriguez,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,Will Smith,Los Angeles Dodgers,Alex Speas,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
12,Will Smith,Los Angeles Dodgers,Dane Dunning,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Will Smith,Los Angeles Dodgers,Andrew Heaney,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Will Smith,Los Angeles Dodgers,Brad Miller,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Will Smith,Los Angeles Dodgers,Glenn Otto,Texas Rangers,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
16,Will Smith,Los Angeles Dodgers,Aaron Loup,Los Angeles Angels,1,1,0,0,1,2,0,0,0,1.000,1.000,4.000,5.000
17,Will Smith,Los Angeles Dodgers,Tyler Anderson,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
18,Will Smith,Los Angeles Dodgers,Griffin Canning,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
19,Will Smith,Los Angeles Dodgers,Chris Devenski,Los Angeles Angels,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
20,Will Smith,Los Angeles Dodgers,Reid Detmers,Los Angeles Angels,5,2,0,0,0,2,0,0,1,.400,.400,.400,.800
21,Will Smith,Los Angeles Dodgers,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Will Smith,Los Angeles Dodgers,Shohei Ohtani,Los Angeles Angels,2,0,0,0,0,0,1,0,2,.000,.333,.000,.333
23,Will Smith,Los Angeles Dodgers,Jose Soriano,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
24,Will Smith,Los Angeles Dodgers,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Will Smith,Los Angeles Dodgers,Jalen Beeks,Tampa Bay Rays,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
26,Will Smith,Los Angeles Dodgers,Cooper Criswell,Tampa Bay Rays,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
27,Will Smith,Los Angeles Dodgers,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Will Smith,Los Angeles Dodgers,Pete Fairbanks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,Will Smith,Los Angeles Dodgers,Tyler Glasnow,Tampa Bay Rays,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
30,Will Smith,Los Angeles Dodgers,Trevor Kelley,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Will Smith,Los Angeles Dodgers,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
32,Will Smith,Los Angeles Dodgers,Colin Poche,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,Will Smith,Los Angeles Dodgers,Zack Thompson,St. Louis Cardinals,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
34,Will Smith,Los Angeles Dodgers,Chris Stratton,St. Louis Cardinals,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
35,Will Smith,Los Angeles Dodgers,Jack Flaherty,St. Louis Cardinals,4,1,0,0,0,0,2,0,0,.250,.500,.250,.750
36,Will Smith,Los Angeles Dodgers,Genesis Cabrera,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Will Smith,Los Angeles Dodgers,Giovanny Gallegos,St. Louis Cardinals,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
38,Will Smith,Los Angeles Dodgers,Ryan Helsley,St. Louis Cardinals,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
39,Will Smith,Los Angeles Dodgers,Jordan Hicks,St. Louis Cardinals,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
40,Will Smith,Los Angeles Dodgers,Matthew Liberatore,St. Louis Cardinals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
41,Will Smith,Los Angeles Dodgers,Steven Matz,St. Louis Cardinals,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
42,Will Smith,Los Angeles Dodgers,Jordan Montgomery,St. Louis Cardinals,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
43,Will Smith,Los Angeles Dodgers,JoJo Romero,St. Louis Cardinals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,Will Smith,Los Angeles Dodgers,Adam Wainwright,St. Louis Cardinals,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
45,Will Smith,Los Angeles Dodgers,Jake Woodford,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
46,Will Smith,Los Angeles Dodgers,Luis Frias,Arizona Diamondbacks,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
47,Will Smith,Los Angeles Dodgers,Zac Gallen,Arizona Diamondbacks,3,3,1,0,0,3,0,0,0,1.000,1.000,1.333,2.333
48,Will Smith,Los Angeles Dodgers,Drey Jameson,Arizona Diamondbacks,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
49,Will Smith,Los Angeles Dodgers,Merrill Kelly,Arizona Diamondbacks,3,1,1,0,0,0,2,0,0,.333,.600,.667,1.267
50,Will Smith,Los Angeles Dodgers,Zach Davies,Arizona Diamondbacks,5,1,0,0,1,1,1,0,2,.200,.333,.800,1.133
51,Will Smith,Los Angeles Dodgers,Miguel Castro,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
52,Will Smith,Los Angeles Dodgers,Andrew Chafin,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
53,Will Smith,Los Angeles Dodgers,Kevin Ginkel,Arizona Diamondbacks,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
54,Will Smith,Los Angeles Dodgers,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
55,Will Smith,Los Angeles Dodgers,Peter Solomon,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
56,Will Smith,Los Angeles Dodgers,Carlos Vargas,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
57,Will Smith,Los Angeles Dodgers,Brandon Williamson,Cincinnati Reds,3,2,1,0,1,2,0,0,0,.667,.667,2.000,2.667
58,Will Smith,Los Angeles Dodgers,Fernando Cruz,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
59,Will Smith,Los Angeles Dodgers,Buck Farmer,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
60,Will Smith,Los Angeles Dodgers,Eduardo Salazar,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
