,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Yoan Moncada,Chicago White Sox,Tony Gonsolin,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
1,Yoan Moncada,Chicago White Sox,Tayler Scott,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Yoan Moncada,Chicago White Sox,Jaime Barria,Los Angeles Angels,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
3,Yoan Moncada,Chicago White Sox,Tyler Anderson,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
4,Yoan Moncada,Chicago White Sox,Griffin Canning,Los Angeles Angels,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
5,Yoan Moncada,Chicago White Sox,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Yoan Moncada,Chicago White Sox,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Yoan Moncada,Chicago White Sox,Chase Silseth,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Yoan Moncada,Chicago White Sox,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Yoan Moncada,Chicago White Sox,Luis Garcia,Houston Astros,2,2,2,0,0,0,1,0,0,1.000,1.000,2.000,3.000
10,Yoan Moncada,Chicago White Sox,Seth Martinez,Houston Astros,1,1,0,0,1,2,0,0,0,1.000,1.000,4.000,5.000
11,Yoan Moncada,Chicago White Sox,Cristian Javier,Houston Astros,3,2,1,0,0,1,0,0,0,.667,.667,1.000,1.667
12,Yoan Moncada,Chicago White Sox,Bryan Abreu,Houston Astros,2,1,0,0,0,0,0,0,1,.500,.667,.500,1.167
13,Yoan Moncada,Chicago White Sox,Brandon Bielak,Houston Astros,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
14,Yoan Moncada,Chicago White Sox,Phil Maton,Houston Astros,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
15,Yoan Moncada,Chicago White Sox,Rafael Montero,Houston Astros,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
16,Yoan Moncada,Chicago White Sox,Jose Urquidy,Houston Astros,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
17,Yoan Moncada,Chicago White Sox,Framber Valdez,Houston Astros,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
18,Yoan Moncada,Chicago White Sox,Ronel Blanco,Houston Astros,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,Yoan Moncada,Chicago White Sox,Hunter Brown,Houston Astros,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
20,Yoan Moncada,Chicago White Sox,J.P. France,Houston Astros,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Yoan Moncada,Chicago White Sox,Hector Neris,Houston Astros,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Yoan Moncada,Chicago White Sox,Ryan Pressly,Houston Astros,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
23,Yoan Moncada,Chicago White Sox,Ryne Stanek,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,Yoan Moncada,Chicago White Sox,Andrew Nardi,Miami Marlins,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
25,Yoan Moncada,Chicago White Sox,A.J. Puk,Miami Marlins,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
26,Yoan Moncada,Chicago White Sox,Sandy Alcantara,Miami Marlins,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Yoan Moncada,Chicago White Sox,Huascar Brazoban,Miami Marlins,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Yoan Moncada,Chicago White Sox,Braxton Garrett,Miami Marlins,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
29,Yoan Moncada,Chicago White Sox,Eury Perez,Miami Marlins,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
