,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Yonny Hernandez,Los Angeles Dodgers,Andrew Heaney,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
1,Yonny Hernandez,Los Angeles Dodgers,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Yonny Hernandez,Los Angeles Dodgers,Cody Bradford,Texas Rangers,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Yonny Hernandez,Los Angeles Dodgers,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Yonny Hernandez,Los Angeles Dodgers,Brad Miller,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Yonny Hernandez,Los Angeles Dodgers,Yerry Rodriguez,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Yonny Hernandez,Los Angeles Dodgers,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Yonny Hernandez,Los Angeles Dodgers,Mike Baumann,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Yonny Hernandez,Los Angeles Dodgers,Felix Bautista,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Yonny Hernandez,Los Angeles Dodgers,Adam Ottavino,New York Mets,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Yonny Hernandez,Los Angeles Dodgers,Kyle Freeland,Colorado Rockies,2,1,0,0,0,2,0,0,0,.500,.500,.500,1.000
11,Yonny Hernandez,Los Angeles Dodgers,Daniel Bard,Colorado Rockies,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
12,Yonny Hernandez,Los Angeles Dodgers,Jake Bird,Colorado Rockies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Yonny Hernandez,Los Angeles Dodgers,Matt Carasiti,Colorado Rockies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Yonny Hernandez,Los Angeles Dodgers,Gavin Hollowell,Colorado Rockies,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
15,Yonny Hernandez,Los Angeles Dodgers,Daniel Lynch IV,Kansas City Royals,2,1,1,0,0,1,0,0,1,.500,.500,1.000,1.500
16,Yonny Hernandez,Los Angeles Dodgers,Taylor Clarke,Kansas City Royals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Yonny Hernandez,Los Angeles Dodgers,Carlos Hernandez,Kansas City Royals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
