,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Yordan Alvarez,Houston Astros,A.J. Minter,Atlanta Braves,2,2,0,0,1,4,0,0,0,1.000,1.000,2.500,3.500
1,Yordan Alvarez,Houston Astros,Kyle Wright,Atlanta Braves,3,1,0,0,1,2,0,0,0,.333,.333,1.333,1.666
2,Yordan Alvarez,Houston Astros,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
3,Yordan Alvarez,Houston Astros,Max Fried,Atlanta Braves,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
4,Yordan Alvarez,Houston Astros,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Yordan Alvarez,Houston Astros,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Yordan Alvarez,Houston Astros,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Yordan Alvarez,Houston Astros,Danny Young,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Yordan Alvarez,Houston Astros,Andrew Heaney,Texas Rangers,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
9,Yordan Alvarez,Houston Astros,Cole Ragans,Texas Rangers,2,1,1,0,0,2,0,0,0,.500,.500,1.000,1.500
10,Yordan Alvarez,Houston Astros,Martin Perez,Texas Rangers,3,1,0,0,1,1,0,0,2,.333,.333,1.333,1.666
11,Yordan Alvarez,Houston Astros,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Yordan Alvarez,Houston Astros,Jon Gray,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Yordan Alvarez,Houston Astros,Ian Kennedy,Texas Rangers,0,0,0,0,0,1,1,0,0,.000,1.000,.000,1.000
14,Yordan Alvarez,Houston Astros,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Yordan Alvarez,Houston Astros,Will Smith,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Yordan Alvarez,Houston Astros,Shohei Ohtani,Los Angeles Angels,5,3,0,0,1,3,1,0,0,.600,.667,1.200,1.867
17,Yordan Alvarez,Houston Astros,Patrick Sandoval,Los Angeles Angels,6,3,1,0,0,2,0,0,1,.500,.500,.667,1.167
18,Yordan Alvarez,Houston Astros,Griffin Canning,Los Angeles Angels,4,1,0,0,1,1,1,0,0,.250,.400,1.000,1.400
19,Yordan Alvarez,Houston Astros,Sam Bachman,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
20,Yordan Alvarez,Houston Astros,Reid Detmers,Los Angeles Angels,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
21,Yordan Alvarez,Houston Astros,Chris Devenski,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Yordan Alvarez,Houston Astros,Jimmy Herget,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Yordan Alvarez,Houston Astros,Ben Joyce,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Yordan Alvarez,Houston Astros,Matt Moore,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Yordan Alvarez,Houston Astros,Chase Silseth,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Yordan Alvarez,Houston Astros,Jose Soriano,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Yordan Alvarez,Houston Astros,Andrew Wantz,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Yordan Alvarez,Houston Astros,Alek Manoah,Toronto Blue Jays,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
29,Yordan Alvarez,Houston Astros,Tim Mayza,Toronto Blue Jays,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
30,Yordan Alvarez,Houston Astros,Trevor Richards,Toronto Blue Jays,1,1,0,0,1,1,1,0,0,1.000,1.000,4.000,5.000
31,Yordan Alvarez,Houston Astros,Chris Bassitt,Toronto Blue Jays,5,1,0,0,1,2,1,0,1,.200,.333,.800,1.133
32,Yordan Alvarez,Houston Astros,Anthony Bass,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Yordan Alvarez,Houston Astros,Jose Berrios,Toronto Blue Jays,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
34,Yordan Alvarez,Houston Astros,Kevin Gausman,Toronto Blue Jays,5,0,0,0,0,0,1,0,4,.000,.167,.000,.167
35,Yordan Alvarez,Houston Astros,Jay Jackson,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
36,Yordan Alvarez,Houston Astros,Zach Pop,Toronto Blue Jays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
37,Yordan Alvarez,Houston Astros,Jordan Romano,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Yordan Alvarez,Houston Astros,Zack Wheeler,Philadelphia Phillies,2,2,1,0,0,0,1,0,0,1.000,1.000,1.500,2.500
39,Yordan Alvarez,Houston Astros,Bailey Falter,Philadelphia Phillies,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
40,Yordan Alvarez,Houston Astros,Gregory Soto,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
41,Yordan Alvarez,Houston Astros,Andrew Vasquez,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,Yordan Alvarez,Houston Astros,Nick Burdi,Chicago Cubs,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
43,Yordan Alvarez,Houston Astros,Jameson Taillon,Chicago Cubs,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
44,Yordan Alvarez,Houston Astros,Justin Steele,Chicago Cubs,3,1,1,0,0,1,0,0,2,.333,.333,.667,1.000
45,Yordan Alvarez,Houston Astros,Michael Fulmer,Chicago Cubs,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
46,Yordan Alvarez,Houston Astros,Brandon Hughes,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
47,Yordan Alvarez,Houston Astros,Mark Leiter Jr.,Chicago Cubs,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
48,Yordan Alvarez,Houston Astros,Drew Smyly,Chicago Cubs,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
49,Yordan Alvarez,Houston Astros,Joe Ryan,Minnesota Twins,5,2,0,0,1,4,0,0,1,.400,.400,1.000,1.400
50,Yordan Alvarez,Houston Astros,Sonny Gray,Minnesota Twins,5,1,1,0,0,0,1,0,1,.200,.333,.400,.733
51,Yordan Alvarez,Houston Astros,Jorge Alcala,Minnesota Twins,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
52,Yordan Alvarez,Houston Astros,Jhoan Duran,Minnesota Twins,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
53,Yordan Alvarez,Houston Astros,Jorge Lopez,Minnesota Twins,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
54,Yordan Alvarez,Houston Astros,Tyler Mahle,Minnesota Twins,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
55,Yordan Alvarez,Houston Astros,Jovani Moran,Minnesota Twins,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
56,Yordan Alvarez,Houston Astros,Cole Sands,Minnesota Twins,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
57,Yordan Alvarez,Houston Astros,Brock Stewart,Minnesota Twins,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
58,Yordan Alvarez,Houston Astros,Louie Varland,Minnesota Twins,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
59,Yordan Alvarez,Houston Astros,Anthony DeSclafani,San Francisco Giants,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
60,Yordan Alvarez,Houston Astros,Logan Webb,San Francisco Giants,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
61,Yordan Alvarez,Houston Astros,Scott Alexander,San Francisco Giants,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
62,Yordan Alvarez,Houston Astros,Camilo Doval,San Francisco Giants,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
63,Yordan Alvarez,Houston Astros,Sean Hjelle,San Francisco Giants,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
64,Yordan Alvarez,Houston Astros,Taylor Rogers,San Francisco Giants,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
65,Yordan Alvarez,Houston Astros,Ross Stripling,San Francisco Giants,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
66,Yordan Alvarez,Houston Astros,Justin Topa,Seattle Mariners,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
67,Yordan Alvarez,Houston Astros,Marco Gonzales,Seattle Mariners,2,1,1,0,0,1,1,0,0,.500,.667,1.000,1.667
68,Yordan Alvarez,Houston Astros,Bryce Miller,Seattle Mariners,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
69,Yordan Alvarez,Houston Astros,Luis Castillo,Seattle Mariners,3,1,0,0,1,3,0,0,0,.333,.333,1.333,1.666
70,Yordan Alvarez,Houston Astros,Tayler Saucedo,Seattle Mariners,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
71,Yordan Alvarez,Houston Astros,Gabe Speier,Seattle Mariners,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
72,Yordan Alvarez,Houston Astros,Roansy Contreras,Pittsburgh Pirates,2,2,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
73,Yordan Alvarez,Houston Astros,Jose Hernandez,Pittsburgh Pirates,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
74,Yordan Alvarez,Houston Astros,David Bednar,Pittsburgh Pirates,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
75,Yordan Alvarez,Houston Astros,Wil Crowe,Pittsburgh Pirates,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
76,Yordan Alvarez,Houston Astros,Colin Holderman,Pittsburgh Pirates,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
77,Yordan Alvarez,Houston Astros,Mitch Keller,Pittsburgh Pirates,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
78,Yordan Alvarez,Houston Astros,Rob Zastryzny,Pittsburgh Pirates,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
79,Yordan Alvarez,Houston Astros,Jake Diekman,Chicago White Sox,1,1,1,0,0,3,0,0,0,1.000,1.000,2.000,3.000
80,Yordan Alvarez,Houston Astros,Jimmy Lambert,Chicago White Sox,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
81,Yordan Alvarez,Houston Astros,Reynaldo Lopez,Chicago White Sox,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
82,Yordan Alvarez,Houston Astros,Gregory Santos,Chicago White Sox,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
83,Yordan Alvarez,Houston Astros,Lucas Giolito,Chicago White Sox,6,3,1,0,0,2,0,0,2,.500,.500,.667,1.167
84,Yordan Alvarez,Houston Astros,Joe Kelly,Chicago White Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
85,Yordan Alvarez,Houston Astros,Dylan Cease,Chicago White Sox,5,1,0,0,0,0,0,0,3,.200,.333,.200,.533
86,Yordan Alvarez,Houston Astros,Aaron Bummer,Chicago White Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
87,Yordan Alvarez,Houston Astros,Michael Kopech,Chicago White Sox,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
88,Yordan Alvarez,Houston Astros,Lance Lynn,Chicago White Sox,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
89,Yordan Alvarez,Houston Astros,Trevor Megill,Milwaukee Brewers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
90,Yordan Alvarez,Houston Astros,Corbin Burnes,Milwaukee Brewers,2,1,0,0,1,1,1,0,0,.500,.667,2.000,2.667
91,Yordan Alvarez,Houston Astros,Hoby Milner,Milwaukee Brewers,2,1,0,0,1,4,0,0,0,.500,.500,2.000,2.500
92,Yordan Alvarez,Houston Astros,Adrian Houser,Milwaukee Brewers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
93,Yordan Alvarez,Houston Astros,Joel Payamps,Milwaukee Brewers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
94,Yordan Alvarez,Houston Astros,Colin Rea,Milwaukee Brewers,1,0,0,0,0,0,1,0,0,.000,.667,.000,.667
95,Yordan Alvarez,Houston Astros,Peter Strzelecki,Milwaukee Brewers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
96,Yordan Alvarez,Houston Astros,Jose Cisnero,Detroit Tigers,1,1,0,0,1,3,0,0,0,1.000,1.000,4.000,5.000
97,Yordan Alvarez,Houston Astros,Chasen Shreve,Detroit Tigers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
98,Yordan Alvarez,Houston Astros,Eduardo Rodriguez,Detroit Tigers,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
99,Yordan Alvarez,Houston Astros,Tyler Alexander,Detroit Tigers,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
100,Yordan Alvarez,Houston Astros,Matthew Boyd,Detroit Tigers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
101,Yordan Alvarez,Houston Astros,Mason Englert,Detroit Tigers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
102,Yordan Alvarez,Houston Astros,Garrett Hill,Detroit Tigers,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
103,Yordan Alvarez,Houston Astros,Alex Lange,Detroit Tigers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
104,Yordan Alvarez,Houston Astros,Matt Manning,Detroit Tigers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
105,Yordan Alvarez,Houston Astros,Garrett Acton,Oakland Athletics,1,1,0,0,1,1,1,1,0,1.000,1.000,4.000,5.000
106,Yordan Alvarez,Houston Astros,Richard Lovelady,Oakland Athletics,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
107,Yordan Alvarez,Houston Astros,Sam Long,Oakland Athletics,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
108,Yordan Alvarez,Houston Astros,Sam Moll,Oakland Athletics,2,1,1,0,0,0,0,0,1,.500,.500,1.000,1.500
109,Yordan Alvarez,Houston Astros,Ken Waldichuk,Oakland Athletics,4,2,1,0,1,1,0,0,0,.500,.500,1.500,2.000
110,Yordan Alvarez,Houston Astros,Lucas Erceg,Oakland Athletics,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
111,Yordan Alvarez,Houston Astros,Hogan Harris,Oakland Athletics,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
112,Yordan Alvarez,Houston Astros,James Kaprielian,Oakland Athletics,3,0,0,0,0,0,2,0,1,.000,.400,.000,.400
113,Yordan Alvarez,Houston Astros,Luis Medina,Oakland Athletics,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
114,Yordan Alvarez,Houston Astros,Austin Pruitt,Oakland Athletics,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
115,Yordan Alvarez,Houston Astros,JP Sears,Oakland Athletics,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
