Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2002,HOU,NL,48,1,0,6.23,6,1,0,8.2,12,6,6,0,9,12,2.42
2003,HOU,NL,349,6,3,3.60,78,0,1,85.0,60,36,34,6,42,97,1.20
2004,HOU,NL,369,6,5,1.90,80,0,29,94.2,57,21,20,8,30,157,0.92
2005,HOU,NL,291,4,4,2.29,70,0,42,70.2,58,21,18,5,23,103,1.15
2006,HOU,NL,340,1,5,5.28,78,0,32,75.0,69,47,44,10,36,104,1.40
2007,HOU,NL,287,5,3,3.36,66,0,19,67.0,54,29,25,9,30,88,1.25
2008,PHI,NL,292,2,0,1.95,72,0,41,69.1,50,17,15,2,35,92,1.23
2009,PHI,NL,283,0,8,7.21,67,0,31,58.2,72,51,47,11,34,61,1.81
2010,PHI,NL,193,1,1,2.96,50,0,27,45.2,32,16,15,5,24,52,1.23
2011,PHI,NL,86,0,2,1.40,25,0,1,19.1,16,3,3,0,13,23,1.50
