Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,ATL,NL,50,0,0,0.73,15,0,0,12.1,10,1,1,0,3,15,1.05
2015,NYY,AL,251,6,2,3.09,59,0,0,58.1,49,21,20,10,33,64,1.41
2016,NYY,AL,142,2,1,5.18,37,0,1,33.0,29,19,19,8,13,33,1.27
2017,NYY,AL,198,4,1,3.77,44,0,0,45.1,35,20,19,8,25,58,1.32
2018,NYY,AL,170,2,2,4.26,40,0,1,38.0,39,23,18,8,18,46,1.50
2018,STL,NL,65,1,2,3.07,20,0,0,14.2,14,5,5,3,9,16,1.57
2018,2 Teams,,235,3,4,3.93,60,0,1,52.2,53,28,23,11,27,62,1.52
2019,STL,NL,10,1,0,9.00,3,0,0,2.0,2,2,2,0,1,2,1.50
2020,NYM,NL,102,1,0,3.96,17,0,0,25.0,17,12,11,4,12,34,1.16
2021,PIT,NL,235,3,3,3.20,57,0,0,56.1,43,20,20,7,28,45,1.26
2022,NYM,NL,114,1,1,6.49,25,0,0,26.1,27,19,19,6,10,29,1.41
