Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1997,TOR,AL,374,3,7,5.09,14,13,0,81.1,108,55,46,7,37,55,1.78
1998,TOR,AL,742,12,7,4.37,33,24,0,175.0,177,97,85,18,61,136,1.36
1999,TOR,AL,663,9,8,4.38,24,24,0,150.0,177,81,73,16,48,106,1.50
2000,TOR,AL,795,10,12,6.26,34,27,0,175.1,204,130,122,30,83,113,1.64
2001,TOR,AL,930,11,11,4.09,34,34,0,215.2,229,112,98,29,75,157,1.41
2002,TOR,AL,327,4,5,5.28,13,13,0,73.1,89,45,43,11,27,45,1.58
2004,STL,NL,746,15,5,3.46,28,28,0,182.0,169,75,70,24,38,152,1.14
2005,STL,NL,953,21,5,2.83,33,33,0,241.2,204,82,76,18,51,213,1.06
2006,STL,NL,896,15,8,3.09,32,32,0,221.2,194,81,76,21,43,184,1.07
2007,STL,NL,29,0,1,7.50,1,1,0,6.0,9,5,5,0,1,3,1.67
2008,STL,NL,63,0,1,1.76,4,3,0,15.1,16,5,3,0,4,7,1.30
2009,STL,NL,750,17,4,2.24,28,28,0,192.2,156,49,48,7,38,144,1.01
2010,STL,NL,969,16,9,3.22,35,35,0,235.0,214,99,84,21,63,179,1.18
2011,STL,NL,996,11,9,3.45,34,34,0,237.1,243,98,91,16,55,191,1.26
