Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,LAA,AL,62,0,2,5.79,7,3,0,14.0,16,11,9,4,7,9,1.64
2012,LAA,AL,318,4,3,4.69,30,9,1,71.0,77,46,37,7,34,47,1.56
2013,LAA,AL,620,7,8,4.16,47,17,1,145.0,151,73,67,12,44,101,1.34
2014,LAA,AL,678,13,4,2.61,26,26,0,168.2,124,51,49,5,51,164,1.04
2015,LAA,AL,865,15,12,3.65,32,32,0,207.1,181,94,84,20,76,176,1.24
2016,LAA,AL,148,1,3,2.34,6,6,0,34.2,31,16,9,2,15,34,1.33
2017,LAA,AL,108,0,2,2.28,6,6,0,27.2,18,8,7,1,7,27,0.90
2018,LAA,AL,324,5,4,3.66,16,16,0,76.1,64,43,31,11,34,87,1.28
2019,SD,NL,41,0,1,8.31,3,3,0,8.2,10,8,8,2,6,11,1.85
2020,SD,NL,213,2,2,4.03,14,10,0,51.1,47,23,23,7,17,46,1.25
2021,BOS,AL,617,7,8,4.87,40,22,3,136.2,158,86,74,19,60,115,1.60
