Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2000,NYY,AL,38,0,2,13.50,3,2,0,6.2,15,10,10,1,4,1,2.85
2001,CLE,AL,290,4,4,5.85,23,6,0,64.2,79,43,42,6,22,48,1.56
2002,CLE,AL,185,1,3,5.83,11,4,0,41.2,50,30,27,6,12,20,1.49
2003,CLE,AL,580,7,10,4.33,34,22,0,133.0,142,70,64,9,56,58,1.49
2004,CLE,AL,895,14,9,3.38,33,30,0,215.2,208,95,81,19,61,116,1.25
2005,CLE,AL,895,15,15,4.49,34,34,0,210.2,218,121,105,19,56,119,1.30
2006,CLE,AL,904,15,10,4.17,32,32,0,211.1,247,106,98,15,55,109,1.43
2007,CLE,AL,648,6,9,4.32,25,25,0,152.0,159,78,73,13,55,93,1.41
2008,CLE,AL,139,1,2,3.12,5,5,0,34.2,33,13,12,5,7,19,1.15
2010,CLE,AL,543,6,7,4.65,21,21,0,127.2,133,68,66,15,44,73,1.39
2010,STL,NL,317,4,4,3.48,12,12,0,75.0,70,31,29,5,24,55,1.25
2010,2 Teams,,860,10,11,4.22,33,33,0,202.2,203,99,95,20,68,128,1.34
2011,STL,NL,809,12,9,4.66,33,33,0,183.1,208,103,95,16,73,104,1.53
2012,STL,NL,751,13,11,3.97,28,28,0,174.2,191,85,77,12,52,106,1.39
