Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,TB,AL,149,4,0,3.47,10,4,0,36.1,32,14,14,5,8,33,1.10
2011,TB,AL,774,13,10,2.95,29,29,0,189.0,146,64,62,21,72,117,1.15
2012,TB,AL,741,10,11,3.10,31,31,0,177.0,163,68,61,25,59,124,1.25
2013,TB,AL,737,12,10,5.17,32,31,0,174.0,185,103,100,24,50,135,1.35
2014,TB,AL,281,1,5,4.52,13,13,0,63.2,71,35,32,8,21,54,1.45
2015,AZ,NL,636,9,12,4.62,27,27,0,146.0,151,79,75,22,43,121,1.33
2016,PHI,NL,772,12,10,3.71,32,32,0,189.0,173,86,78,24,45,154,1.15
2017,PHI,NL,472,6,5,4.73,20,20,0,112.1,111,62,59,22,30,65,1.26
2017,BAL,AL,223,2,6,6.97,10,10,0,51.2,49,43,40,13,17,31,1.28
2017,2 Teams,,695,8,11,5.43,30,30,0,164.0,160,105,99,35,47,96,1.26
2018,WSH,NL,370,5,3,3.45,19,19,0,91.1,78,41,35,11,20,65,1.07
