Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,TOR,AL,18,0,0,3.86,5,0,0,4.2,4,2,2,0,0,4,0.86
2015,OAK,AL,502,6,9,4.05,21,21,0,115.2,126,57,52,15,38,77,1.42
2016,OAK,AL,786,10,11,4.11,31,31,0,186.0,196,87,85,22,47,108,1.31
2017,OAK,AL,444,6,4,4.19,19,19,0,105.1,114,50,49,12,32,70,1.39
2018,OAK,AL,158,1,5,7.60,7,7,0,34.1,44,32,29,9,13,27,1.66
2020,SEA,AL,77,1,3,5.79,11,2,0,18.2,15,13,12,2,8,15,1.23
2021,SEA,AL,121,4,0,0.82,30,0,10,33.0,15,7,3,2,8,34,0.70
2021,HOU,AL,101,1,1,3.13,23,0,0,23.0,20,8,8,1,12,27,1.39
2021,2 Teams,,222,5,1,1.77,53,0,10,56.0,35,15,11,3,20,61,0.98
2022,CWS,AL,285,3,4,3.18,65,0,6,65.0,65,29,23,5,26,66,1.40
