Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,TOR,AL,261,2,4,3.67,11,11,0,61.1,51,27,25,7,30,60,1.32
2010,TOR,AL,287,4,4,4.95,14,12,0,63.2,72,37,35,8,30,57,1.60
2011,TOR,AL,158,2,3,2.97,43,0,0,39.1,28,16,13,2,15,33,1.09
2011,STL,NL,98,0,3,3.97,28,0,0,22.2,22,11,10,1,11,28,1.46
2011,2 Teams,,256,2,6,3.34,71,0,0,62.0,50,27,23,3,26,61,1.23
2012,STL,NL,196,1,3,4.24,70,0,0,46.2,46,22,22,7,17,33,1.35
2013,STL,NL,50,0,0,7.84,11,0,0,10.1,16,9,9,1,4,9,1.94
2013,CLE,AL,79,0,0,0.89,27,0,0,20.1,11,4,2,1,6,20,0.84
2013,2 Teams,,129,0,0,3.23,38,0,0,30.2,27,13,11,2,10,29,1.21
2014,CLE,AL,196,0,3,2.74,73,0,1,46.0,42,19,14,1,19,46,1.33
2015,CLE,AL,94,2,3,4.43,45,0,0,20.1,23,15,10,1,10,24,1.62
2015,SD,NL,64,0,1,7.36,27,0,0,14.2,17,14,12,2,4,17,1.43
2015,2 Teams,,158,2,4,5.66,72,0,0,35.0,40,29,22,3,14,41,1.54
2016,OAK,AL,169,1,0,3.00,56,0,0,36.0,38,14,12,1,24,37,1.72
2016,WSH,NL,46,0,0,1.54,14,0,0,11.2,8,3,2,0,5,9,1.11
2016,2 Teams,,215,1,0,2.64,70,0,0,47.2,46,17,14,1,29,46,1.57
2017,SEA,AL,137,2,2,4.02,64,0,1,31.1,29,16,14,2,20,25,1.56
2018,SEA,AL,47,0,1,9.39,18,0,0,7.2,13,11,8,2,9,10,2.87
2018,CLE,AL,10,0,0,0.00,5,0,0,2.2,3,0,0,0,1,1,1.50
