Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,CHC,NL,115,0,2,9.13,10,4,0,23.2,25,24,24,3,17,21,1.77
2006,CHC,NL,417,6,7,4.17,17,16,0,99.1,83,51,46,16,39,90,1.23
2007,CHC,NL,812,11,8,3.92,32,32,0,195.0,170,89,85,27,63,183,1.19
2008,CHC,NL,89,1,0,4.12,5,5,0,19.2,13,9,9,2,18,15,1.58
2009,BAL,AL,275,3,3,7.80,14,13,0,57.2,68,53,50,7,40,46,1.87
2010,BOS,AL,18,1,0,0.00,6,0,0,4.0,5,0,0,0,1,3,1.50
2011,BOS,AL,30,0,0,0.00,9,0,0,8.0,3,0,0,0,3,12,0.75
2012,BOS,AL,83,1,0,1.83,25,0,0,19.2,17,4,4,0,11,21,1.42
2013,CLE,AL,182,1,2,6.28,63,0,0,38.2,38,30,27,3,29,51,1.73
2014,LAA,AL,4,0,0,-.--,2,0,0,0.0,1,1,1,0,3,0,-.--
2014,NYY,AL,25,0,0,1.69,14,0,0,5.1,6,1,1,0,3,9,1.69
2014,2 Teams,,29,0,0,3.38,16,0,0,5.1,7,2,2,0,6,9,2.44
2015,BOS,AL,106,2,1,1.55,4,4,0,29.0,14,5,5,2,5,36,0.66
2016,OAK,AL,311,9,3,2.25,14,14,0,76.0,55,22,19,2,28,90,1.09
2016,LAD,NL,128,3,2,1.83,6,6,0,34.1,22,7,7,2,5,39,0.79
2016,2 Teams,,439,12,5,2.12,20,20,0,110.1,77,29,26,4,33,129,1.00
2017,LAD,NL,552,12,8,3.32,25,25,0,135.2,99,51,50,18,49,166,1.09
2018,LAD,NL,547,11,5,3.66,25,24,0,132.2,108,57,54,20,41,150,1.12
2019,LAD,NL,242,4,1,2.45,13,13,0,58.2,48,20,16,10,18,72,1.13
2020,MIN,AL,156,2,2,3.03,8,8,0,38.2,28,13,13,3,17,31,1.16
2021,TB,AL,389,6,4,3.87,19,19,0,95.1,75,41,41,14,36,91,1.16
2021,NYM,NL,272,1,4,3.84,13,12,0,63.1,62,29,27,7,19,59,1.28
2021,2 Teams,,661,7,8,3.86,32,31,0,158.2,137,70,68,21,55,150,1.21
2022,BOS,AL,526,8,7,4.27,26,26,0,124.1,125,67,59,15,37,109,1.30
