Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1987,ATL,NL,238,2,4,5.54,9,9,0,50.1,55,34,31,5,33,20,1.75
1988,ATL,NL,844,7,17,4.56,34,34,0,195.1,201,111,99,12,63,84,1.35
1989,ATL,NL,766,14,8,3.68,29,29,0,186.0,172,88,76,20,40,90,1.14
1990,ATL,NL,929,10,12,4.28,33,33,0,214.1,232,111,102,18,78,129,1.45
1991,ATL,NL,989,20,11,2.55,34,34,0,246.2,201,83,70,17,69,192,1.09
1992,ATL,NL,919,20,8,2.76,33,33,0,225.0,197,81,69,6,70,129,1.19
1993,ATL,NL,1014,22,6,3.20,36,36,0,239.1,236,91,85,16,90,120,1.36
1994,ATL,NL,731,13,9,3.97,25,25,0,165.1,173,76,73,10,70,140,1.47
1995,ATL,NL,822,16,7,3.08,29,29,0,198.2,182,76,68,9,66,127,1.25
1996,ATL,NL,994,15,10,2.98,36,36,0,235.1,222,91,78,14,85,181,1.30
1997,ATL,NL,970,14,7,2.96,33,33,0,240.0,197,86,79,20,79,152,1.15
1998,ATL,NL,934,20,6,2.47,33,33,0,229.1,202,67,63,13,74,157,1.20
1999,ATL,NL,1023,14,11,4.12,35,35,0,234.0,259,115,107,18,83,138,1.46
2000,ATL,NL,992,21,9,3.40,35,35,0,241.0,222,101,91,24,65,152,1.19
2001,ATL,NL,929,16,7,3.57,35,35,0,219.1,213,92,87,24,97,116,1.41
2002,ATL,NL,936,18,11,2.96,36,36,0,224.2,210,85,74,21,78,127,1.28
2003,NYM,NL,791,9,14,4.52,32,32,0,183.1,205,94,92,21,66,82,1.48
2004,NYM,NL,904,11,14,3.60,33,33,0,212.1,204,94,85,20,70,109,1.29
2005,NYM,NL,901,13,13,3.53,33,33,0,211.1,227,88,83,12,61,105,1.36
2006,NYM,NL,842,15,7,3.82,32,32,0,198.0,202,94,84,22,62,131,1.33
2007,NYM,NL,855,13,8,4.45,34,34,0,200.1,219,102,99,23,64,89,1.41
