Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1999,FLA,NL,182,4,2,3.48,7,7,0,41.1,37,23,16,3,25,33,1.50
2000,FLA,NL,364,3,7,4.79,13,13,0,82.2,80,46,44,8,44,57,1.50
2001,FLA,NL,733,11,12,4.05,27,27,0,173.1,145,82,78,20,83,128,1.32
2002,FLA,NL,844,12,9,3.30,31,29,0,204.1,153,84,75,12,90,203,1.19
2003,FLA,NL,106,0,2,4.70,4,4,0,23.0,18,13,12,2,18,21,1.57
2004,FLA,NL,490,7,6,3.68,20,19,0,120.0,102,50,49,9,38,113,1.17
2005,FLA,NL,873,12,12,3.44,32,32,0,209.0,184,97,80,12,79,198,1.26
2006,TOR,AL,577,10,8,3.98,21,21,0,135.2,138,67,60,14,39,118,1.30
2007,TOR,AL,691,10,8,3.75,25,25,0,165.2,131,74,69,23,66,176,1.19
2008,TOR,AL,957,18,10,4.07,35,34,0,221.1,211,109,100,19,86,231,1.34
2009,NYY,AL,896,13,9,4.04,33,33,0,207.0,193,99,93,25,97,195,1.40
2010,NYY,AL,829,10,15,5.26,33,33,0,186.2,204,118,109,25,78,145,1.51
2011,NYY,AL,837,11,11,5.15,33,32,0,190.1,190,115,109,31,83,173,1.43
2012,PIT,NL,851,16,10,3.51,31,31,0,202.1,189,86,79,18,62,180,1.24
2013,PIT,NL,801,10,11,3.30,30,30,0,191.0,165,79,70,11,67,209,1.21
2014,PHI,NL,935,8,18,4.59,34,34,0,213.2,205,122,109,20,96,190,1.41
