Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,ATL,NL,158,4,2,3.11,43,0,0,37.2,32,13,13,1,17,33,1.30
2006,ATL,NL,7,0,0,40.50,2,0,0,0.2,4,3,3,0,1,0,7.50
2007,ATL,NL,26,0,0,3.38,5,0,0,5.1,10,3,2,0,1,3,2.06
2008,ATL,NL,313,2,6,5.88,76,0,1,72.0,73,51,47,10,25,67,1.36
2009,ATL,NL,11,0,1,40.50,3,0,0,1.1,3,6,6,0,3,2,4.50
2009,STL,NL,70,0,0,4.41,15,0,0,16.1,14,10,8,1,5,9,1.16
2009,AZ,NL,160,0,1,2.68,30,0,0,37.0,39,20,11,0,12,18,1.38
2009,3 Teams,,241,0,2,4.12,48,0,0,54.2,56,36,25,1,20,29,1.39
2010,AZ,NL,251,3,2,4.26,54,0,0,57.0,59,32,27,3,29,29,1.54
2011,NYM,NL,33,0,2,10.80,5,0,1,6.2,13,8,8,2,1,1,2.10
2014,SD,NL,160,0,1,3.57,32,0,0,40.1,34,16,16,2,8,29,1.04
2015,MIN,AL,268,3,6,2.49,68,0,1,65.0,62,24,18,5,19,33,1.25
2016,MIL,NL,282,2,4,3.95,61,0,1,66.0,80,30,29,4,17,26,1.47
2017,BOS,AL,178,1,1,4.35,32,0,0,41.1,50,20,20,3,14,33,1.55
