Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1998,STL,NL,16,0,1,5.40,4,0,0,3.1,5,4,2,1,1,4,1.80
1999,FLA,NL,370,3,3,3.80,72,0,0,83.0,96,43,35,7,31,50,1.53
2000,FLA,NL,311,5,1,4.41,73,0,2,67.1,71,41,33,3,36,29,1.59
2001,FLA,NL,295,3,3,3.55,71,0,3,71.0,63,28,28,8,30,52,1.31
2002,FLA,NL,349,2,5,3.14,78,0,13,86.0,73,31,30,8,28,55,1.17
2003,FLA,NL,347,6,4,3.68,74,0,28,80.2,82,34,33,4,29,56,1.38
2004,NYM,NL,346,2,5,2.70,71,0,29,83.1,86,28,25,5,16,60,1.22
2005,NYM,NL,271,4,7,3.94,60,0,28,59.1,65,31,26,7,22,27,1.47
2006,STL,NL,308,9,3,3.56,69,0,0,73.1,76,30,29,3,20,41,1.31
2007,STL,NL,746,12,12,4.94,31,30,0,175.0,183,100,96,22,51,87,1.34
2008,STL,NL,842,12,14,4.16,33,33,0,199.0,216,101,92,25,45,108,1.31
