Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,CLE,AL,574,11,8,5.61,23,23,0,128.1,159,82,80,16,41,65,1.56
2010,CLE,AL,369,2,11,6.21,15,15,0,79.2,101,61,55,14,34,37,1.69
2011,CLE,AL,227,2,6,4.09,11,10,0,50.2,55,35,23,6,17,36,1.42
2012,CLE,AL,114,3,1,3.38,6,4,0,26.2,30,14,10,5,5,19,1.31
2013,CLE,AL,15,0,0,15.00,3,0,0,3.0,7,5,5,0,1,5,2.67
2013,NYY,AL,136,3,1,4.67,11,2,0,34.2,26,18,18,7,8,26,0.98
2013,2 Teams,,151,3,1,5.50,14,2,0,37.2,33,23,23,7,9,31,1.12
2014,SF,NL,92,1,0,6.30,16,0,0,20.0,27,15,14,2,6,11,1.65
2014,NYY,AL,166,3,1,1.85,30,0,0,39.0,34,10,8,3,17,28,1.31
2014,2 Teams,,258,4,1,3.36,46,0,0,59.0,61,25,22,5,23,39,1.42
2015,LAD,NL,30,0,0,9.00,3,1,0,6.0,11,6,6,2,1,4,2.00
