Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,NYY,AL,414,4,4,3.34,33,11,0,99.2,81,38,37,14,38,96,1.19
2013,NYY,AL,376,6,5,4.98,22,12,0,86.2,88,50,48,8,35,79,1.42
2014,NYY,AL,497,5,5,4.38,32,17,1,113.0,115,62,55,13,46,92,1.42
2015,MIA,NL,482,4,8,4.50,23,19,0,112.0,119,59,56,11,33,77,1.36
2016,MIA,NL,352,7,6,2.28,64,5,4,86.2,61,23,22,6,38,114,1.14
2017,MIA,NL,197,2,4,3.45,44,0,0,47.0,42,20,18,5,21,51,1.34
2017,SEA,AL,41,2,1,3.12,10,0,0,8.2,9,3,3,0,5,11,1.62
2017,2 Teams,,238,4,5,3.40,54,0,0,55.2,51,23,21,5,26,62,1.38
2019,TOR,AL,71,0,0,3.63,17,1,0,17.1,14,7,7,3,7,18,1.21
2019,CHC,NL,76,2,1,3.18,24,0,1,17.0,17,7,6,2,10,18,1.59
2019,2 Teams,,147,2,1,3.41,41,1,1,34.1,31,14,13,5,17,36,1.40
2020,MIL,NL,48,2,3,2.77,12,0,0,13.0,7,5,4,2,2,20,0.69
2020,PHI,NL,37,0,1,12.91,10,0,0,7.2,12,11,11,5,3,11,1.96
2020,2 Teams,,85,2,4,6.53,22,0,0,20.2,19,16,15,7,5,31,1.16
2021,TOR,AL,42,0,0,0.87,11,1,0,10.1,8,2,1,0,4,15,1.16
