Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1991,MON,NL,223,2,5,2.44,51,0,8,55.1,39,17,15,1,17,42,1.01
1992,MON,NL,368,8,7,2.84,70,0,1,85.2,81,35,27,1,34,63,1.34
1993,MON,NL,616,12,5,2.29,56,15,1,149.2,119,50,38,7,54,140,1.16
1994,MON,NL,569,8,6,2.99,21,21,0,138.2,119,54,46,13,40,119,1.15
1995,MON,NL,833,13,14,4.33,30,30,0,189.0,207,102,91,15,74,164,1.49
1996,MON,NL,967,15,11,3.30,34,34,0,231.2,217,95,85,20,55,222,1.17
1997,SEA,AL,1010,16,9,3.61,35,35,0,234.1,226,108,94,21,84,189,1.32
1998,SEA,AL,954,13,12,3.97,32,32,0,224.2,223,115,99,33,66,176,1.29
1999,SEA,AL,669,4,14,7.38,30,24,0,139.0,188,123,114,34,73,101,1.88
1999,TEX,AL,82,1,0,5.71,7,3,0,17.1,20,12,11,1,10,13,1.73
1999,2 Teams,,751,5,14,7.20,37,27,0,156.1,208,135,125,35,83,114,1.86
2000,BOS,AL,577,8,8,4.78,38,23,0,130.0,153,72,69,16,50,97,1.56
2001,CHC,NL,308,4,4,3.42,82,0,12,73.2,66,31,28,6,23,79,1.21
2002,CHC,NL,240,5,6,6.18,57,0,0,51.0,65,37,35,5,22,44,1.71
2002,STL,NL,75,3,0,3.00,16,0,0,18.0,16,6,6,4,5,12,1.17
2002,2 Teams,,315,8,6,5.35,73,0,0,69.0,81,43,41,9,27,56,1.57
2003,STL,NL,354,1,7,5.68,62,6,3,77.2,93,51,49,17,34,55,1.64
2004,COL,NL,505,3,8,5.51,40,12,0,111.0,136,73,68,9,44,59,1.62
2004,AZ,NL,3,0,0,0.00,1,0,0,1.0,0,0,0,0,0,1,0.00
2004,2 Teams,,508,3,8,5.46,41,12,0,112.0,136,73,68,9,44,60,1.61
2005,SF,NL,384,4,7,4.05,48,6,0,91.0,92,48,41,7,31,60,1.35
