Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,BAL,AL,201,3,5,5.66,20,5,0,47.2,51,30,30,8,13,49,1.34
2014,BAL,AL,476,7,7,3.57,20,20,0,113.1,111,48,45,7,38,88,1.31
2015,BAL,AL,470,4,7,4.25,25,17,0,112.1,109,56,53,17,29,103,1.23
2016,BAL,AL,757,9,12,3.61,30,30,0,179.2,183,76,72,28,47,174,1.28
2017,BAL,AL,816,11,12,4.68,34,34,0,186.2,208,99,97,29,71,179,1.49
2018,BAL,AL,534,5,8,4.43,21,21,0,124.0,139,62,61,21,32,104,1.38
2018,ATL,NL,242,5,3,2.87,10,10,0,59.2,50,23,19,5,18,44,1.14
2018,2 Teams,,776,10,11,3.92,31,31,0,183.2,189,85,80,26,50,148,1.30
2019,ATL,NL,360,3,7,6.19,16,16,0,80.0,92,60,55,12,27,85,1.49
2019,CIN,NL,91,0,2,4.03,15,1,0,22.1,21,11,10,3,5,29,1.16
2019,2 Teams,,451,3,9,5.72,31,17,0,102.1,113,71,65,15,32,114,1.42
2020,SF,NL,245,3,3,3.62,12,10,0,59.2,50,26,24,8,16,79,1.11
2021,SF,NL,775,14,6,2.81,33,33,0,192.0,150,66,60,20,50,227,1.04
2022,TOR,AL,725,12,10,3.35,31,31,0,174.2,188,72,65,15,28,205,1.24
