Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,CIN,NL,604,8,4,4.23,24,22,0,138.1,158,77,65,19,49,91,1.50
2011,CIN,NL,693,12,9,3.86,29,26,0,167.2,159,74,72,23,38,118,1.17
2012,CIN,NL,757,8,9,4.58,30,30,0,179.0,201,97,91,26,41,116,1.35
2013,CIN,NL,801,14,7,3.37,31,31,0,192.1,193,78,72,21,48,122,1.25
2014,CIN,NL,902,11,13,3.70,33,33,0,214.1,217,93,88,23,50,164,1.25
2015,CIN,NL,556,9,5,3.56,21,21,0,136.2,123,55,54,14,34,90,1.15
2015,SF,NL,222,2,5,4.07,9,9,0,55.1,51,25,25,8,15,29,1.19
2015,2 Teams,,778,11,10,3.70,30,30,0,192.0,174,80,79,22,49,119,1.16
2016,STL,NL,757,9,12,4.69,30,30,0,176.2,203,101,92,20,30,125,1.32
2017,STL,NL,654,7,12,4.21,26,26,0,154.0,169,83,72,19,35,103,1.32
2017,SEA,AL,128,3,1,2.53,5,5,0,32.0,32,10,9,1,2,27,1.06
2017,2 Teams,,782,10,13,3.92,31,31,0,186.0,201,93,81,20,37,130,1.28
2018,SEA,AL,784,10,10,4.36,31,31,0,185.2,207,98,90,23,34,119,1.30
2019,SEA,AL,576,9,8,4.27,22,22,0,137.0,153,78,65,26,19,100,1.26
2019,AZ,NL,259,3,3,4.35,10,10,0,60.0,74,36,29,15,8,27,1.37
