Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,CWS,AL,301,8,0,2.39,65,0,0,71.2,67,19,19,4,32,65,1.38
2013,CWS,AL,315,4,5,4.15,70,0,0,78.0,69,40,36,5,26,89,1.22
2014,CWS,AL,5,0,0,-.--,2,0,0,0.0,2,4,4,0,3,0,-.--
2015,CWS,AL,72,2,2,3.32,19,0,0,19.0,12,7,7,5,6,27,0.95
2016,CWS,AL,274,5,3,2.29,71,0,3,70.2,48,20,18,7,15,80,0.89
2017,CWS,AL,49,1,0,2.31,11,0,0,11.2,9,3,3,1,6,15,1.29
2018,CWS,AL,137,2,2,3.00,33,0,5,30.0,28,14,10,4,15,32,1.43
2019,CWS,AL,47,0,1,3.48,13,0,1,10.1,10,4,4,2,7,10,1.65
2020,CIN,NL,86,0,1,6.27,21,0,0,18.2,25,13,13,5,6,23,1.66
2021,ATL,NL,50,0,2,3.48,12,0,0,10.1,8,6,4,3,10,7,1.74
2021,LAD,NL,37,0,0,8.31,8,0,0,8.2,8,9,8,4,2,7,1.15
