Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,NYY,AL,306,5,3,4.46,13,13,0,72.2,64,39,36,8,29,58,1.28
2008,NYY,AL,157,0,4,6.62,8,8,0,34.0,43,26,25,3,15,23,1.71
2009,NYY,AL,351,8,3,3.03,51,7,3,86.0,68,31,29,8,28,96,1.12
2010,NYY,AL,730,18,8,4.19,31,29,0,176.1,162,83,82,25,58,146,1.25
2011,NYY,AL,334,5,5,5.79,17,14,0,74.2,84,48,48,9,27,47,1.49
2012,NYY,AL,815,16,13,4.19,32,32,0,191.1,196,101,89,35,46,165,1.26
2013,NYY,AL,642,4,14,5.19,30,29,0,145.2,170,91,84,24,42,121,1.46
2014,MIN,AL,855,16,10,3.52,32,32,0,209.2,221,88,82,16,16,186,1.13
2015,MIN,AL,651,11,9,4.40,27,25,0,155.1,184,76,76,29,16,94,1.29
2016,MIN,AL,259,1,7,5.95,12,11,0,59.0,76,40,39,11,13,34,1.51
2017,MIN,AL,244,4,3,5.87,14,9,0,53.2,72,38,35,12,13,38,1.58
2018,MIN,AL,55,0,0,6.75,7,2,0,12.0,14,9,9,4,5,8,1.58
2018,SD,NL,97,0,0,6.10,16,0,0,20.2,30,14,14,7,5,24,1.69
