Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2000,CHC,NL,17,1,0,8.10,6,0,0,3.1,4,3,3,0,4,2,2.40
2001,CHC,NL,54,0,1,7.71,11,0,0,11.2,14,10,10,2,6,12,1.71
2005,CHC,NL,187,2,2,2.91,69,0,0,43.1,32,14,14,6,24,45,1.29
2006,CHC,NL,286,1,1,4.13,78,0,0,65.1,51,30,30,6,34,74,1.30
2007,CHC,NL,168,2,4,4.95,56,0,1,36.1,42,20,20,3,16,33,1.60
2008,ATL,NL,248,4,1,3.68,83,0,1,58.2,51,27,24,3,22,53,1.24
2009,LAD,NL,54,1,0,5.84,21,0,1,12.1,12,8,8,4,8,7,1.62
2010,BAL,AL,135,0,0,3.30,51,0,0,30.0,30,12,11,3,18,29,1.60
2010,FLA,NL,51,0,2,3.00,17,0,0,12.0,10,6,4,1,5,14,1.25
2010,2 Teams,,186,0,2,3.21,68,0,0,42.0,40,18,15,4,23,43,1.50
2011,CWS,AL,232,1,3,4.22,59,0,0,53.1,53,26,25,8,17,54,1.31
