Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,CHC,NL,30,0,0,1.35,10,0,0,6.2,3,1,1,1,7,7,1.50
2014,CHC,NL,66,1,0,9.45,18,0,0,13.1,14,14,14,2,12,21,1.95
2015,CHC,NL,118,2,1,4.39,33,0,0,26.2,26,13,13,5,13,29,1.46
2017,CHC,NL,2,0,0,0.00,1,0,0,0.2,0,0,0,0,0,0,0.00
2017,COL,NL,30,0,0,5.14,9,0,0,7.0,9,4,4,2,0,10,1.29
2017,2 Teams,,32,0,0,4.70,10,0,0,7.2,9,4,4,2,0,10,1.17
2018,LAD,NL,47,0,1,4.76,17,0,0,11.1,9,6,6,3,4,20,1.15
2019,SEA,AL,69,2,0,3.21,19,0,0,14.0,13,8,5,1,14,20,1.93
2019,TOR,AL,8,0,0,27.00,2,0,0,1.0,3,4,3,0,2,2,5.00
2019,LAD,NL,17,0,0,6.00,7,0,0,3.0,6,3,2,1,3,4,3.00
2019,3 Teams,,94,2,0,5.00,28,0,0,18.0,22,15,10,2,19,26,2.28
