name,url
Jake Odorizzi,https://baseballsavant.mlb.com/savant-player/jake-odorizzi-543606?stats=statcast-r-pitching-mlb
Jake Peavy,https://baseballsavant.mlb.com/savant-player/jake-peavy-408241?stats=statcast-r-pitching-mlb
Jake Polancic,https://baseballsavant.mlb.com/savant-player/jake-polancic-666302?stats=career-r-pitching-milb
Jake Thompson,https://baseballsavant.mlb.com/savant-player/jake-thompson-622097?stats=statcast-r-pitching-mlb
Jake Westbrook,https://baseballsavant.mlb.com/savant-player/jake-westbrook-150414?stats=career-r-pitching-mlb
Jake Woodford,https://baseballsavant.mlb.com/savant-player/jake-woodford-663765?stats=statcast-r-pitching-mlb
Jalen Beeks,https://baseballsavant.mlb.com/savant-player/jalen-beeks-656222?stats=statcast-r-pitching-mlb
James Kaprielian,https://baseballsavant.mlb.com/savant-player/james-kaprielian-621076?stats=statcast-r-pitching-mlb
James Karinchak,https://baseballsavant.mlb.com/savant-player/james-karinchak-675916?stats=statcast-r-pitching-mlb
James McDonald,https://baseballsavant.mlb.com/savant-player/james-mcdonald-457428?stats=career-r-pitching-mlb
James Paxton,https://baseballsavant.mlb.com/savant-player/james-paxton-572020?stats=statcast-r-pitching-mlb
James Shields,https://baseballsavant.mlb.com/savant-player/james-shields-448306?stats=statcast-r-pitching-mlb
Jameson Taillon,https://baseballsavant.mlb.com/savant-player/jameson-taillon-592791?stats=statcast-r-pitching-mlb
Jared Hughes,https://baseballsavant.mlb.com/savant-player/jared-hughes-453172?stats=statcast-r-pitching-mlb
Jared Miller,https://baseballsavant.mlb.com/savant-player/jared-miller-802605?stats=career-r-hitting-milb
Jared Solomon,https://baseballsavant.mlb.com/savant-player/jared-solomon-676660?stats=statcast-r-pitching-mlb
Jarred Cosart,https://baseballsavant.mlb.com/savant-player/jarred-cosart-543054?stats=statcast-r-pitching-mlb
Jarrod Parker,https://baseballsavant.mlb.com/savant-player/jarrod-parker-519105?stats=career-r-pitching-mlb
Jason Adam,https://baseballsavant.mlb.com/savant-player/jason-adam-592094?stats=statcast-r-pitching-mlb
Jason Garcia,https://baseballsavant.mlb.com/savant-player/jason-garcia-592329?stats=statcast-r-pitching-mlb
Jason Grilli,https://baseballsavant.mlb.com/savant-player/jason-grilli-276351?stats=statcast-r-pitching-mlb
Jason Grimsley,https://baseballsavant.mlb.com/savant-player/jason-grimsley-115169?stats=career-r-pitching-mlb
Jason Hammel,https://baseballsavant.mlb.com/savant-player/jason-hammel-434628?stats=statcast-r-pitching-mlb
Jason Isringhausen,https://baseballsavant.mlb.com/savant-player/jason-isringhausen-116414?stats=career-r-pitching-mlb
Jason Motte,https://baseballsavant.mlb.com/savant-player/jason-motte-435400?stats=statcast-r-pitching-mlb
Jason Vargas,https://baseballsavant.mlb.com/savant-player/jason-vargas-450306?stats=statcast-r-pitching-mlb
Javier Lopez,https://baseballsavant.mlb.com/savant-player/javier-lopez-425657?stats=statcast-r-pitching-mlb
Javy Guerra,https://baseballsavant.mlb.com/savant-player/javy-guerra-642770?stats=statcast-r-pitching-mlb
Jay Flaa,https://baseballsavant.mlb.com/savant-player/jay-flaa-664852?stats=statcast-r-pitching-mlb
Jayson Schroeder,https://baseballsavant.mlb.com/savant-player/jayson-schroeder-677315?stats=career-r-pitching-milb
Jeff Beliveau,https://baseballsavant.mlb.com/savant-player/jeff-beliveau-542924?stats=statcast-r-pitching-mlb
Jeff Brigham,https://baseballsavant.mlb.com/savant-player/jeff-brigham-656257?stats=statcast-r-pitching-mlb
Jeff Fassero,https://baseballsavant.mlb.com/savant-player/jeff-fassero-114032?stats=career-r-pitching-mlb
Jeff Ferrell,https://baseballsavant.mlb.com/savant-player/jeff-ferrell-594815?stats=statcast-r-pitching-mlb
Jeff Francis,https://baseballsavant.mlb.com/savant-player/jeff-francis-433585?stats=statcast-r-pitching-mlb
Jeff Locke,https://baseballsavant.mlb.com/savant-player/jeff-locke-502046?stats=statcast-r-pitching-mlb
Jeff Niemann,https://baseballsavant.mlb.com/savant-player/jeff-niemann-435298?stats=career-r-pitching-mlb
Jeffrey Springs,https://baseballsavant.mlb.com/savant-player/jeffrey-springs-605488?stats=statcast-r-pitching-mlb
Jered Weaver,https://baseballsavant.mlb.com/savant-player/jered-weaver-450308?stats=statcast-r-pitching-mlb
Jeremy Affeldt,https://baseballsavant.mlb.com/savant-player/jeremy-affeldt-346793?stats=statcast-r-pitching-mlb
Jeremy Beasley,https://baseballsavant.mlb.com/savant-player/jeremy-beasley-676886?stats=statcast-r-pitching-mlb
Jeremy Guthrie,https://baseballsavant.mlb.com/savant-player/jeremy-guthrie-425386?stats=statcast-r-pitching-mlb
Jeremy Hellickson,https://baseballsavant.mlb.com/savant-player/jeremy-hellickson-476451?stats=statcast-r-pitching-mlb
Jeremy Jeffress,https://baseballsavant.mlb.com/savant-player/jeremy-jeffress-502026?stats=statcast-r-pitching-mlb
Jerome Williams,https://baseballsavant.mlb.com/savant-player/jerome-williams-425532?stats=statcast-r-pitching-mlb
Jerry Blevins,https://baseballsavant.mlb.com/savant-player/jerry-blevins-460283?stats=statcast-r-pitching-mlb
Jerry Vasto,https://baseballsavant.mlb.com/savant-player/jerry-vasto-657786?stats=statcast-r-pitching-mlb
Jesse Chavez,https://baseballsavant.mlb.com/savant-player/jesse-chavez-445926?stats=statcast-r-pitching-mlb
Jesse Hahn,https://baseballsavant.mlb.com/savant-player/jesse-hahn-534910?stats=statcast-r-pitching-mlb
Jesse Litsch,https://baseballsavant.mlb.com/savant-player/jesse-litsch-446209?stats=career-r-pitching-mlb
Jesus Luzardo,https://baseballsavant.mlb.com/savant-player/jesus-luzardo-666200?stats=statcast-r-pitching-mlb
Jharel Cotton,https://baseballsavant.mlb.com/savant-player/jharel-cotton-605194?stats=statcast-r-pitching-mlb
Jim Johnson,https://baseballsavant.mlb.com/savant-player/jim-johnson-462382?stats=statcast-r-pitching-mlb
Jimmie Sherfy,https://baseballsavant.mlb.com/savant-player/jimmie-sherfy-642073?stats=statcast-r-pitching-mlb
Jimmy Herget,https://baseballsavant.mlb.com/savant-player/jimmy-herget-623474?stats=statcast-r-pitching-mlb
Jimmy Lambert,https://baseballsavant.mlb.com/savant-player/jimmy-lambert-669424?stats=statcast-r-pitching-mlb
Jimmy Nelson,https://baseballsavant.mlb.com/savant-player/jimmy-nelson-519076?stats=statcast-r-pitching-mlb
Jimmy Yacabonis,https://baseballsavant.mlb.com/savant-player/jimmy-yacabonis-642231?stats=statcast-r-pitching-mlb
JoJo Romero,https://baseballsavant.mlb.com/savant-player/jojo-romero-668941?stats=statcast-r-pitching-mlb
Joba Chamberlain,https://baseballsavant.mlb.com/savant-player/joba-chamberlain-501955?stats=statcast-r-pitching-mlb
Joe Blanton,https://baseballsavant.mlb.com/savant-player/joe-blanton-430599?stats=statcast-r-pitching-mlb
Joe Kelly,https://baseballsavant.mlb.com/savant-player/joe-kelly-523260?stats=statcast-r-pitching-mlb
Joe Kennedy,https://baseballsavant.mlb.com/savant-player/joe-kennedy-406773?stats=career-r-pitching-mlb
Joe Mantiply,https://baseballsavant.mlb.com/savant-player/joe-mantiply-573009?stats=statcast-r-pitching-mlb
